,Gender,Resource_Access,Women_Empowerment_Metrics,Crop_Type,Soil_Type,Soil_Health_Index,Social_Impact_Index
1070,Two-spirit,Limited,4.890089982534648,Wheat,Sandy,1.2648345985062033,7.489452264414069
1071,Male,Abundant,3.1761198611783024,Wheat,Clayey,4.058584436348261,8.209683282245443
1072,Gender neutral,Moderate,3.239182888719057,Wheat,Sandy,6.26042388027004,9.487106672438495
1073,Agender,Limited,3.080461658009578,Rice,Loamy,3.9571067666540873,3.0907789874396343
1074,Agender,Abundant,3.44292711857848,Wheat,Sandy,1.2416675863072808,1.4384725436417312
1075,Genderqueer,Limited,2.05719901109502,Rice,Sandy,4.998801389200619,3.6181334815203376
1076,Male,Limited,2.148965391899363,Wheat,Clayey,1.9531570255730006,4.592253777654432
1077,Pangender,Limited,3.045356359184531,Rice,Sandy,6.57244022196434,6.626438260055798
1078,Male,Abundant,4.226743419054318,Wheat,Loamy,6.576283902004192,8.179341062281393
1079,Pangender,Moderate,1.1994583059767154,Wheat,Loamy,1.3398322563856064,4.148229592421946
1080,Transgender,Moderate,3.413616848880984,Wheat,Sandy,3.615996354394395,5.261472880632362
1081,Genderqueer,Moderate,4.227112570025255,Wheat,Sandy,4.723176373651034,8.069205393875727
1082,Transgender,Limited,1.6276690881489086,Maize,Clayey,5.952376880732602,3.0279585369589777
1083,Male,Abundant,1.0600901679222652,Wheat,Clayey,3.664570867373756,2.9541873514458867
1084,Genderqueer,Limited,2.2508531805658323,Rice,Loamy,3.5897186129625833,6.3030969084703035
1085,Transgender,Moderate,3.3525748269183926,Maize,Clayey,9.847136406252334,4.924511474660804
1086,Female,Moderate,1.5531326936189909,Maize,Sandy,1.3767651614880991,9.540071227318917
1087,Male,Abundant,2.704489483889942,Wheat,Loamy,9.901408726820367,4.213274886861202
1088,Transgender,Limited,3.2092859894971117,Rice,Clayey,1.4297674697055687,7.836000431561496
1089,Female,Moderate,3.3955323790292686,Rice,Loamy,3.5950728501521727,6.247834691176322
1090,Female,Abundant,2.0976468840015006,Maize,Sandy,5.443217694724151,1.4911848275470865
1091,Agender,Limited,2.6001185439451655,Rice,Clayey,2.2896850871289267,1.7594699320850358
1092,Male,Limited,4.113356916270234,Wheat,Sandy,2.2136172626685147,2.828408393709912
1093,Female,Moderate,4.7648587764827415,Wheat,Sandy,3.3068144193485125,2.2883736056412336
1094,Agender,Moderate,4.447521324473029,Wheat,Loamy,9.761564652162125,3.9643434067999834
1095,Transgender,Limited,3.2571340069337276,Wheat,Loamy,4.421051729871078,6.2109002439882115
1096,Gender neutral,Limited,2.641171211775786,Wheat,Loamy,6.093953544422726,6.421262887066476
1097,Male,Moderate,2.331826457485673,Maize,Clayey,7.338622621434817,6.2899100664646586
1098,Genderqueer,Limited,1.4998262643360722,Wheat,Clayey,7.679996519717894,2.058477711698387
1099,Pangender,Moderate,1.426204988864452,Wheat,Loamy,7.1923686971081935,6.4020286977444645
1100,Pangender,Limited,3.753430499654631,Maize,Clayey,4.032353738725524,4.687721981716465
1101,Transgender,Moderate,2.0391776646846416,Maize,Clayey,2.005550446204562,9.127473987274543
1102,Third gender,Abundant,2.018646745729787,Maize,Loamy,3.535448277998898,9.20785776496925
1103,Third gender,Moderate,4.992780217911143,Rice,Sandy,2.8926570409255596,7.913564440154555
1104,Transgender,Moderate,1.7517038314951816,Rice,Clayey,2.226495743823851,7.327964359893017
1105,Female,Abundant,1.5922390379553186,Wheat,Clayey,1.2204705857645683,2.0345744558572574
1106,Male,Limited,1.3947409110396825,Wheat,Sandy,9.421532641525728,1.762247904280275
1107,Pangender,Abundant,3.3192213806671846,Wheat,Sandy,9.289309478908043,8.567503218226772
1108,Pangender,Moderate,3.5114553040084058,Rice,Sandy,1.4537530506715233,4.843142348117096
1109,Female,Limited,2.4609117050275278,Wheat,Loamy,2.5577611553836164,5.062260476808515
1110,Pangender,Abundant,3.141653342045871,Wheat,Sandy,2.255504243165143,8.630137810117272
1111,Genderqueer,Limited,4.15359812377965,Rice,Loamy,3.5310064097936564,6.592878631547094
1112,Male,Limited,4.272416673286994,Maize,Sandy,2.83661983430867,2.614665168118951
1113,Two-spirit,Abundant,4.831648302862593,Rice,Sandy,9.512681836580695,2.8991190608862447
1114,Pangender,Limited,4.297071943691498,Wheat,Loamy,1.7575339290418346,1.0573945213135127
1115,Transgender,Abundant,3.2593657468697064,Rice,Loamy,2.9050374430405292,7.396030845474083
1116,Genderqueer,Moderate,1.718627863347384,Maize,Sandy,1.7265097412462298,5.370504926450366
1117,Pangender,Limited,1.3990542308113696,Maize,Sandy,9.823468137799928,9.549675215533286
1118,Genderqueer,Moderate,1.2180475596434368,Maize,Sandy,9.265721581873045,7.4261152112344115
1119,Agender,Moderate,3.666103327141535,Maize,Clayey,7.449684307888699,1.9283739468991004
1120,Two-spirit,Limited,4.230145021591973,Maize,Sandy,4.83375728997922,2.4538731394534254
1121,Non-binary,Abundant,3.034735802736316,Maize,Loamy,2.7116032197159328,5.5155218210499335
1122,Transgender,Limited,1.2188566993345598,Wheat,Clayey,2.993407525181282,9.323867517964592
1123,Transgender,Moderate,3.1418822983653527,Wheat,Loamy,4.987360077004103,3.225259808954034
1124,Male,Moderate,4.742997046098202,Rice,Clayey,7.914004042028334,8.430221817211953
1125,Genderqueer,Abundant,3.390452763729842,Wheat,Clayey,3.38256546399063,3.8104517812210763
1126,Female,Limited,4.23770995385126,Maize,Loamy,3.79712721281182,3.429074706002003
1127,Transgender,Moderate,4.200610593567003,Wheat,Clayey,6.399498622640236,9.11253474397446
1128,Genderqueer,Moderate,4.728516399122611,Rice,Loamy,3.139564260504282,1.425174328653875
1129,Genderqueer,Moderate,4.080915062599493,Maize,Sandy,6.257967591635232,6.946669348604596
1130,Gender neutral,Abundant,3.9908020560523583,Wheat,Clayey,4.484178039450561,1.388507628531008
1131,Gender neutral,Moderate,1.9364106598825623,Wheat,Loamy,1.3093138531121324,8.206874079144024
1132,Non-binary,Moderate,1.2397006212843258,Rice,Clayey,4.624311576087675,8.46463919459956
1133,Agender,Limited,3.070397860215231,Maize,Loamy,9.275727515672305,9.040209171936858
1134,Non-binary,Limited,1.4977368317870208,Rice,Sandy,3.6380069122011456,2.6748105543465437
1135,Pangender,Moderate,4.848783505111966,Maize,Sandy,3.9054915049282206,2.1204834033376043
1136,Female,Moderate,2.1596990505321143,Maize,Clayey,1.593467992533582,5.531815419023203
1137,Pangender,Limited,4.411776813537172,Wheat,Clayey,6.5354270371236485,3.444693594040504
1138,Third gender,Abundant,2.5504985008098373,Rice,Loamy,8.64318127868505,6.456677250223587
1139,Pangender,Abundant,2.2927769994295097,Rice,Loamy,4.176306037837914,5.6237256151368165
1140,Male,Abundant,4.740634289506485,Rice,Clayey,3.1622100176798957,2.303668992028841
1141,Pangender,Abundant,2.453290288344896,Maize,Loamy,9.609506687474727,7.65343444466594
1142,Non-binary,Abundant,2.561151634652546,Rice,Loamy,7.705653531323396,8.234059406733374
1143,Transgender,Abundant,1.4243671184516367,Maize,Loamy,6.104472033549381,9.66738720154793
1144,Transgender,Abundant,3.681786661130037,Rice,Clayey,3.7497804971039566,4.559849887250254
1145,Gender neutral,Abundant,2.155357657910054,Rice,Sandy,2.987182161787608,4.039614419333988
1146,Female,Limited,3.342416671358029,Wheat,Sandy,7.441696351004206,2.7303639041794456
1147,Female,Abundant,3.365406816212838,Rice,Loamy,5.696099354236098,2.6277854968827876
1148,Male,Abundant,3.876798782383068,Wheat,Clayey,5.68539835122683,3.889479568419868
1149,Non-binary,Abundant,3.980965944689765,Wheat,Loamy,1.6633883680501942,9.836350321188412
1150,Gender neutral,Moderate,3.0578097376061577,Maize,Sandy,5.609750290836454,1.8303280725174065
1151,Third gender,Limited,2.323967790413612,Rice,Loamy,8.404696279355443,3.3342958186973517
1152,Female,Limited,4.349803579338936,Rice,Sandy,9.52119350016183,1.7738055718753745
1153,Transgender,Limited,2.239462597633939,Rice,Clayey,1.9601415773356163,3.462682534621638
1154,Pangender,Abundant,3.030036377877326,Wheat,Loamy,6.6804868962916375,1.8316128927763449
1155,Pangender,Abundant,2.605010332814912,Rice,Clayey,6.115125257184222,5.5747798008042535
1156,Gender neutral,Moderate,4.420313543878752,Maize,Loamy,9.012812418533276,4.945200881682847
1157,Non-binary,Limited,2.727674124583315,Maize,Loamy,7.761196271663843,2.5664529734790684
1158,Non-binary,Abundant,2.544396755349937,Rice,Loamy,9.68735682248782,2.5732710439766753
1159,Agender,Limited,3.75929477159055,Wheat,Loamy,9.640292838237967,6.6349816634745356
1160,Two-spirit,Moderate,3.409764439445771,Maize,Loamy,3.031165840106987,4.484092050914889
1161,Female,Moderate,1.4289873339833843,Maize,Clayey,7.528157847103799,1.5057544305993122
1162,Non-binary,Moderate,3.032675225375853,Wheat,Clayey,5.77470782228405,9.281733397903611
1163,Transgender,Limited,3.9419135533329905,Maize,Sandy,2.9314179569377488,4.644572372288203
1164,Gender neutral,Abundant,4.9682990583654245,Wheat,Loamy,2.7538217399566065,6.319427993710193
1165,Third gender,Abundant,3.5165873358812765,Maize,Sandy,1.7297590713965785,8.968707549265362
1166,Agender,Moderate,2.481172265765271,Wheat,Clayey,8.159907487768201,4.61943097546283
1167,Genderqueer,Abundant,1.9046063992084736,Maize,Sandy,3.920543025580086,8.385940354701244
1168,Male,Moderate,4.491320936613281,Rice,Clayey,8.712719517960698,9.23277002142655
1169,Third gender,Limited,4.258260848454011,Maize,Loamy,6.474838294208931,2.5666064529703316
1170,Genderqueer,Moderate,1.9356912831175395,Maize,Sandy,7.062700193546147,9.03243214002978
1171,Pangender,Limited,1.8025283605862938,Rice,Sandy,3.6250637464917697,2.0784920203574035
1172,Male,Moderate,3.8605471072447024,Rice,Sandy,5.115648514561152,3.476146684413997
1173,Female,Abundant,2.259808247675038,Rice,Sandy,4.710858202748124,8.273903028852128
1174,Transgender,Abundant,2.2255951934478313,Rice,Loamy,3.1211979753214107,9.106160934588505
1175,Male,Moderate,1.609160988270621,Wheat,Clayey,8.492609516741133,7.157249095357514
1176,Two-spirit,Abundant,2.0559020788393196,Wheat,Clayey,6.59876055225959,1.9434326457024347
1177,Genderqueer,Abundant,2.7100302303705983,Maize,Loamy,1.3368877970776314,5.7069304921427735
1178,Female,Abundant,3.931353349089662,Maize,Clayey,8.379253174408195,6.153706981447943
1179,Two-spirit,Limited,2.345232377654999,Maize,Sandy,1.954339804257323,3.536737570005918
1180,Pangender,Abundant,2.3144173579193708,Wheat,Loamy,4.633267901793033,9.92166226210358
1181,Two-spirit,Limited,2.1396530102097433,Maize,Clayey,6.141312114673401,4.020651611734575
1182,Agender,Moderate,2.913134670044172,Maize,Loamy,1.068861210950962,2.8922929236483332
1183,Agender,Abundant,1.7225467917652613,Wheat,Loamy,6.876172948986425,1.9912242578684398
1184,Gender neutral,Abundant,2.942522936128502,Maize,Clayey,6.937326456042314,4.406511347858242
1185,Third gender,Abundant,3.8167022247787594,Wheat,Clayey,6.872736854193821,7.233568224814481
1186,Third gender,Moderate,1.1191620161304887,Wheat,Loamy,2.471211442956494,3.0827538396323497
1187,Female,Limited,1.0391175212230475,Rice,Loamy,3.301590940961945,7.925897957172349
1188,Pangender,Limited,1.300491640618037,Rice,Clayey,3.226382375794662,2.2186114094955443
1189,Non-binary,Abundant,3.1426402469124484,Wheat,Loamy,9.640602848616734,4.9642113788071365
1190,Agender,Moderate,4.417820332741614,Wheat,Clayey,1.6077536850328955,7.321363660954368
1191,Female,Moderate,1.0195378640810078,Rice,Loamy,4.858853569331536,2.2177846241887393
1192,Non-binary,Moderate,4.746645218338724,Maize,Loamy,8.841285152381747,6.380579889954797
1193,Third gender,Moderate,1.4251140462821432,Maize,Loamy,7.925193950029444,8.190572611752149
1194,Gender neutral,Moderate,4.367934112232906,Maize,Clayey,8.401979121840341,6.359940066602859
1195,Two-spirit,Limited,2.931419059931787,Wheat,Sandy,9.750642257100997,5.603175318947658
1196,Agender,Limited,3.637429549115376,Rice,Clayey,4.4853563104587,8.544695978825565
1197,Female,Limited,3.0427319377887296,Maize,Loamy,3.7868974694241504,9.86878315001095
1198,Male,Abundant,2.9081929007174185,Rice,Sandy,1.2759354113517758,2.631816571196573
1199,Non-binary,Moderate,4.339597713457566,Rice,Sandy,2.3501742561087586,7.222117071947834
1200,Two-spirit,Abundant,4.023545518271265,Wheat,Loamy,6.058131890887217,1.7259179890558303
1201,Agender,Moderate,2.9336089460920167,Maize,Clayey,2.4189453554800604,1.3855692157655246
1202,Third gender,Limited,1.4465437175842464,Rice,Sandy,7.626745143828196,3.527370732079091
1203,Pangender,Abundant,1.4616118372576326,Wheat,Sandy,1.3350934442434375,9.738278096741919
1204,Non-binary,Limited,4.206157842876301,Wheat,Clayey,3.335392209140937,5.969760862320439
1205,Third gender,Moderate,3.117562485390134,Wheat,Clayey,7.2590781104963975,3.4144420955987007
1206,Agender,Moderate,2.9263565608774504,Maize,Sandy,3.299525418151574,2.1932748676446288
1207,Non-binary,Moderate,3.7222673654428604,Maize,Clayey,7.558844178020177,9.281650627120024
1208,Two-spirit,Limited,4.435366333657042,Wheat,Sandy,9.962774878876317,4.261299236842966
1209,Agender,Moderate,3.515492577653221,Maize,Loamy,8.173755599041932,3.760275433482984
1210,Genderqueer,Limited,4.051391609385917,Maize,Clayey,4.076519128849023,8.721670887991046
1211,Female,Abundant,4.061082096467828,Rice,Sandy,9.10532710565435,6.439625485397835
1212,Two-spirit,Moderate,2.4250457951718363,Wheat,Clayey,1.4606176210138848,2.5177250047746447
1213,Non-binary,Moderate,2.096332782563983,Wheat,Clayey,7.525061420025809,4.793594783672546
1214,Pangender,Moderate,4.204656268700635,Maize,Sandy,1.2099009840640753,9.35407961295137
1215,Third gender,Abundant,2.508715167136974,Wheat,Loamy,2.570999458212685,9.11083217107919
1216,Male,Moderate,4.613344026090821,Wheat,Sandy,9.88827167384717,1.6309881345187975
1217,Third gender,Limited,1.2787627869204785,Wheat,Clayey,4.247964212448763,3.4175187347735996
1218,Non-binary,Limited,1.2328700483013586,Maize,Sandy,8.384494403478149,2.3908545822623446
1219,Third gender,Moderate,4.708016640405633,Maize,Clayey,4.384780415520418,5.804305428325104
1220,Female,Moderate,3.5938196567257394,Maize,Sandy,8.56025605718034,7.749849853272866
1221,Agender,Abundant,2.5183974257933293,Rice,Loamy,9.688956041140969,3.6598889004037085
1222,Male,Abundant,4.020241659264731,Wheat,Loamy,4.919826190772499,7.821964696467895
1223,Transgender,Abundant,3.689307239974565,Rice,Loamy,6.0341427266345145,7.018440157622512
1224,Non-binary,Moderate,3.124804187278385,Maize,Loamy,6.65775540967211,7.553999884667651
1225,Gender neutral,Abundant,1.3954933706506054,Rice,Sandy,9.41351321957712,9.534193419723877
1226,Transgender,Abundant,4.248718349171006,Wheat,Loamy,3.310696786911021,4.821506747080325
1227,Third gender,Limited,4.464092762722499,Wheat,Sandy,6.50124435550354,4.083112221503312
1228,Non-binary,Abundant,1.6886747542105964,Maize,Clayey,3.9224820540082828,7.154624873185189
1229,Genderqueer,Limited,4.402046607908266,Maize,Clayey,2.952398621641775,8.268014273300112
1230,Gender neutral,Limited,4.511389244066256,Rice,Clayey,1.7642830512089276,2.7230076253834454
1231,Male,Abundant,3.197714449154064,Maize,Loamy,6.58639777362354,8.621196407332853
1232,Pangender,Limited,3.624716144890748,Rice,Loamy,8.938769309844115,1.5206724189918226
1233,Genderqueer,Moderate,2.5289492800579656,Wheat,Loamy,4.162535999600613,1.057543768684176
1234,Transgender,Moderate,2.127166590037064,Wheat,Clayey,5.974016825736795,2.425844344655615
1235,Agender,Abundant,3.887932587806579,Wheat,Clayey,6.779204157647042,9.808004682759092
1236,Female,Moderate,4.447500596063232,Wheat,Clayey,4.731851600156835,5.712088398559988
1237,Pangender,Limited,3.61631021182299,Wheat,Clayey,9.130130653294524,1.4191067036269844
1238,Genderqueer,Moderate,3.046362442586197,Rice,Sandy,4.264796450810589,9.974581156447416
1239,Agender,Abundant,1.6356990673766862,Wheat,Sandy,2.125097380808593,7.7042012934432025
1240,Agender,Abundant,1.2138348504192726,Rice,Loamy,2.296183222465296,8.542045683560946
1241,Non-binary,Limited,2.7827671609869857,Wheat,Loamy,9.017718530569415,2.9164647383207507
1242,Genderqueer,Abundant,1.197398254789685,Rice,Clayey,9.892072385631637,1.949044908127219
1243,Male,Moderate,3.2773385276289004,Rice,Sandy,3.6004406551454524,5.63576448445871
1244,Third gender,Abundant,2.530916765271085,Rice,Sandy,2.292424530892403,7.949581158540182
1245,Gender neutral,Limited,4.028756478727878,Maize,Loamy,5.339910535805885,6.740025870866478
1246,Gender neutral,Abundant,2.222593987344734,Rice,Sandy,7.385752572189381,6.679533983663539
1247,Transgender,Moderate,3.3719308038697284,Rice,Loamy,6.511626172926748,7.813864753194879
1248,Transgender,Limited,3.150734087020402,Wheat,Clayey,9.559973638743514,3.043187429981608
1249,Gender neutral,Moderate,1.0188497020889646,Rice,Clayey,8.360000955744653,6.953673536298904
1250,Male,Limited,1.2895575930572414,Rice,Loamy,8.82074948557602,4.528996022218216
1251,Female,Abundant,2.161472849944082,Maize,Clayey,5.875004429641632,1.6277813678830528
1252,Two-spirit,Limited,4.52894032408306,Wheat,Clayey,3.9454767399830506,2.819283456190468
1253,Third gender,Limited,1.5880598195991142,Maize,Sandy,7.315624094145212,8.146033652844032
1254,Female,Abundant,3.8435773218421665,Maize,Sandy,4.951477359562556,9.063376282724112
1255,Non-binary,Moderate,4.893466264609149,Maize,Sandy,3.589788165060921,3.5453963037553926
1256,Two-spirit,Abundant,4.162270210764621,Rice,Sandy,2.3704361710506774,2.713248442051139
1257,Two-spirit,Limited,1.9717814467481758,Maize,Sandy,5.7508678710060614,1.2405205382065732
1258,Genderqueer,Abundant,4.6334610416523265,Maize,Loamy,6.348282104799269,9.529276497281307
1259,Male,Limited,1.3724286260335603,Wheat,Loamy,6.119071143887575,7.15469432531687
1260,Male,Abundant,2.872567767482943,Wheat,Sandy,2.0489352709019863,9.613270945388443
1261,Two-spirit,Abundant,4.550167630905655,Wheat,Clayey,6.1298858758486885,8.774642646734994
1262,Genderqueer,Moderate,3.565062837027479,Wheat,Clayey,2.515726961246269,4.064199334213669
1263,Third gender,Limited,2.6545782589107954,Maize,Loamy,6.973427489063221,2.014147411799561
1264,Two-spirit,Moderate,2.171251466948675,Wheat,Loamy,4.8644559699898,5.49151115374124
1265,Pangender,Limited,2.5003976212734,Rice,Loamy,8.6390972896524,1.2413241803590391
1266,Transgender,Abundant,3.035767124037145,Maize,Clayey,8.004391703144009,2.3492496532910465
1267,Transgender,Limited,2.2761757194912295,Wheat,Loamy,7.519438463649704,3.100893661135752
1268,Female,Moderate,4.875871448329199,Maize,Clayey,7.306633894008721,6.990819365300276
1269,Non-binary,Moderate,4.73231061226458,Wheat,Loamy,6.044392355302918,5.588897265586865
1270,Transgender,Moderate,4.482685872857283,Maize,Clayey,1.550022185155099,3.7217760050151805
1271,Agender,Limited,2.6873193420906136,Wheat,Loamy,6.8994066117970085,6.08291559272206
1272,Female,Moderate,3.7652070773409156,Rice,Loamy,5.202299598073437,2.1268238399953057
1273,Transgender,Moderate,4.611317228143859,Wheat,Clayey,5.225992425941797,7.801373141367513
1274,Non-binary,Moderate,4.401717950715712,Maize,Loamy,4.411199759196427,7.408316248779559
1275,Male,Abundant,2.6573080560808306,Maize,Sandy,9.361638233575395,2.9485240811247646
1276,Male,Abundant,1.4495441972890428,Rice,Clayey,3.245061402571891,6.457524001986761
1277,Third gender,Limited,1.3025214553381979,Maize,Loamy,3.849350080688017,5.529723438675141
1278,Two-spirit,Limited,3.3082561809028106,Rice,Clayey,9.667367044620605,1.5473468066481977
1279,Pangender,Moderate,3.5705117408437266,Maize,Loamy,8.291383617490283,3.50338525152521
1280,Male,Abundant,4.399370418388097,Maize,Sandy,1.1267777094658298,9.995344336214671
1281,Genderqueer,Moderate,2.170060081364124,Rice,Loamy,9.154968398756864,1.8958209499973442
1282,Transgender,Moderate,1.66988196220017,Maize,Loamy,3.0398256894976328,5.5577017631994465
1283,Genderqueer,Abundant,2.516023332712798,Maize,Sandy,7.353392852494571,8.644003791531194
1284,Non-binary,Abundant,2.4143004945291002,Rice,Clayey,5.977657966304939,3.7058668570464754
1285,Male,Abundant,1.529875816071419,Wheat,Loamy,5.831306952425056,3.3463777509437547
1286,Pangender,Limited,3.6891306100526084,Rice,Loamy,7.461291910534473,9.017137465212913
1287,Non-binary,Limited,3.034767762917504,Maize,Sandy,2.8646332470499574,3.7434695228341575
1288,Agender,Moderate,3.884491024459065,Wheat,Clayey,2.431226176897839,6.863439801275128
1289,Agender,Limited,2.410764480678939,Wheat,Clayey,6.867213460596568,7.662816858978843
1290,Genderqueer,Abundant,2.302808846310809,Wheat,Sandy,3.6152130601419605,8.097559743763945
1291,Two-spirit,Abundant,2.8903034121754225,Rice,Sandy,9.765551868919848,9.952836735762968
1292,Female,Limited,4.509629381580588,Wheat,Loamy,5.063606551672061,8.228728627389103
1293,Two-spirit,Moderate,1.1611252269359214,Wheat,Sandy,2.004373180062687,6.913109411987809
1294,Third gender,Moderate,4.219331269185888,Wheat,Sandy,7.172336495548402,9.059172019830761
1295,Two-spirit,Limited,2.475950450631026,Maize,Sandy,3.7554336321951816,9.151701720750527
1296,Third gender,Moderate,4.41847610315391,Rice,Clayey,2.33728684859262,9.758498118936537
1297,Third gender,Moderate,4.208812035343426,Rice,Sandy,4.8054102660092886,7.988187380288375
1298,Pangender,Moderate,2.3950449895843535,Maize,Loamy,9.678000502785503,2.7543459753831785
1299,Male,Abundant,3.775506141286464,Wheat,Loamy,4.70287518748417,7.388254800135911
1300,Pangender,Abundant,1.6385310270937605,Maize,Loamy,4.126003891579571,1.6761559747943664
1301,Third gender,Limited,4.5851262086551525,Maize,Sandy,5.000580658623737,3.8616663512385414
1302,Non-binary,Abundant,2.6179642578076376,Wheat,Clayey,1.1090413503968353,2.042267592840251
1303,Agender,Moderate,2.8225024614208007,Wheat,Sandy,2.1979138473875266,9.54948346198786
1304,Third gender,Abundant,3.8230362041479395,Rice,Sandy,8.647071563211469,4.048787010019258
1305,Pangender,Limited,4.283360946819403,Wheat,Loamy,9.802309708850624,7.418940817989248
1306,Non-binary,Abundant,1.9453709733128384,Maize,Sandy,2.4214733704331324,6.141865922075145
1307,Pangender,Moderate,3.6454005595079817,Maize,Clayey,5.819660365482175,1.9676027175142317
1308,Two-spirit,Moderate,2.567992175556594,Wheat,Loamy,9.697000904250793,6.052100030927897
1309,Transgender,Limited,2.4748116960158453,Rice,Clayey,2.4092323856106743,6.9492118908238565
1310,Genderqueer,Abundant,3.760103295762619,Maize,Clayey,2.676786557522052,8.933655315822666
1311,Female,Abundant,2.5487330966237374,Wheat,Clayey,9.341347185355586,1.6307707817722885
1312,Pangender,Abundant,2.3844340006576306,Rice,Sandy,7.351188818071442,3.660705865871565
1313,Female,Moderate,4.343553632504969,Rice,Sandy,2.3677001815794467,7.2310684952135125
1314,Gender neutral,Limited,1.4051044953240255,Maize,Sandy,4.541434040067488,1.308984722846307
1315,Pangender,Abundant,3.7035704913208427,Maize,Sandy,1.506429497932395,2.831981105597238
1316,Transgender,Moderate,1.9949015751624986,Rice,Loamy,4.894043805259248,2.968033567642013
1317,Female,Moderate,1.0619929673047612,Rice,Sandy,8.001113450383333,7.023937714962164
1318,Third gender,Moderate,1.667057075490768,Rice,Loamy,5.985748491275145,3.5736461152790273
1319,Pangender,Abundant,3.426646119103471,Wheat,Clayey,6.826979096345828,6.396360960341417
1320,Male,Abundant,3.8365087659437496,Maize,Loamy,3.941381189801883,9.688136020086766
1321,Genderqueer,Abundant,1.0842311342252802,Rice,Sandy,2.452563259703137,8.139186838011105
1322,Transgender,Abundant,1.1457017732068806,Maize,Loamy,1.1180500819613597,3.9961252418005544
1323,Female,Abundant,4.610168459371812,Maize,Sandy,8.391811098964109,5.251599719554279
1324,Transgender,Abundant,1.2932232724548793,Maize,Sandy,6.72989103411209,2.806065118909026
1325,Non-binary,Abundant,4.576728634466285,Rice,Loamy,3.063891171589195,1.1414800927310484
1326,Genderqueer,Abundant,1.9126636550036231,Wheat,Loamy,4.765905640695653,3.607438583123724
1327,Third gender,Abundant,3.9600712006328513,Rice,Clayey,8.212989418553029,4.324677500844444
1328,Pangender,Moderate,2.2389329957840483,Maize,Clayey,5.848301674822471,6.079304556266278
1329,Pangender,Abundant,4.435008102436735,Rice,Clayey,3.7014388880138047,9.496599843373568
1330,Pangender,Limited,3.8018194616974315,Rice,Clayey,3.404660654536169,9.530668657646503
1331,Genderqueer,Moderate,2.6072538344067806,Maize,Clayey,2.95852622003943,1.6308846897335987
1332,Male,Abundant,1.3052098166963182,Maize,Loamy,8.413568921207528,6.531811115780533
1333,Gender neutral,Limited,3.930800735483228,Rice,Clayey,6.236743156161962,1.3811738579907051
1334,Agender,Abundant,3.467539023860726,Rice,Loamy,7.382414491313178,6.832729673341332
1335,Two-spirit,Limited,1.011646871335155,Rice,Clayey,8.741083972576721,2.0593275604763193
1336,Female,Limited,1.0376794238897813,Rice,Sandy,9.881755322771946,9.517625425198904
1337,Male,Limited,4.235171892770776,Wheat,Clayey,3.2453522787770375,8.779048142850725
1338,Third gender,Limited,2.0375989552074154,Rice,Sandy,2.6281223871212163,1.2009594749804497
1339,Female,Moderate,3.5445346709122627,Wheat,Loamy,5.157985085145536,8.039185520120707
1340,Pangender,Moderate,2.81685767906099,Maize,Clayey,1.3156415153067926,6.723074054535499
1341,Transgender,Limited,4.453720058087069,Wheat,Loamy,8.125460934071754,5.4583227157094125
1342,Third gender,Abundant,4.6678444524099545,Maize,Clayey,8.95383998950944,6.423710380772396
1343,Female,Limited,4.987230850715417,Wheat,Loamy,7.1743572887322555,7.104250544168238
1344,Pangender,Moderate,1.6147365432289873,Maize,Clayey,3.411955221072484,8.960117280044617
1345,Female,Abundant,4.451856185901901,Rice,Clayey,2.108399265899115,7.906218949384709
1346,Transgender,Moderate,2.064085506915207,Wheat,Sandy,4.439297691278995,6.1784003739699145
1347,Pangender,Moderate,3.3632634995820307,Wheat,Loamy,8.50002058454728,8.421540946705075
1348,Gender neutral,Abundant,3.0230913354768436,Maize,Loamy,4.130450234075032,9.882306608532401
1349,Male,Limited,1.0719525262895506,Maize,Loamy,1.3082911626397598,3.7016381880396523
1350,Non-binary,Limited,4.731085119624379,Wheat,Loamy,3.4685233860261873,2.0657862461644134
1351,Two-spirit,Limited,1.3133082205968738,Maize,Loamy,9.909510490681509,7.583034346378297
1352,Genderqueer,Limited,3.7528756776309433,Rice,Sandy,7.090018800992949,9.807367005216848
1353,Two-spirit,Abundant,4.140027344833048,Wheat,Clayey,9.107693469794151,2.0503532908222084
1354,Third gender,Abundant,4.181151396190737,Rice,Sandy,7.973787407509968,4.885365322074179
1355,Two-spirit,Abundant,1.5419780757153791,Wheat,Loamy,5.857349637939676,1.5604087796715
1356,Pangender,Moderate,2.7902798020318884,Rice,Loamy,2.3381998515548226,7.988787484937108
1357,Gender neutral,Abundant,4.317715481735919,Wheat,Clayey,4.137800305201459,9.53837844145401
1358,Non-binary,Limited,2.2107168415150187,Maize,Sandy,6.253662027468,5.4909473900679995
1359,Male,Moderate,2.8709947014986543,Wheat,Clayey,8.83569113858793,4.685690325341703
1360,Male,Limited,2.091175570799383,Rice,Clayey,3.4180754127840967,9.16947120925469
1361,Transgender,Limited,2.8542056715412967,Wheat,Sandy,2.091041824062066,2.2004955038540492
1362,Genderqueer,Abundant,4.55135169037152,Rice,Clayey,6.029490857993357,9.02425880327523
1363,Female,Abundant,2.8204969241310778,Rice,Sandy,2.588511002662501,4.529134025212307
1364,Gender neutral,Limited,3.2236480682972815,Rice,Sandy,6.49325592389716,6.034657711221076
