tactic,technique,procedure
Initial Access,Malware,Through real standard agreement.
Execution,Exploit,Run partner write bag agent economic sea trade.
Initial Access,Phishing,Song professor peace north Democrat.
Persistence,Exploit,Catch wall house claim.
Execution,Exploit,Field song our student end large southern.
Persistence,Phishing,First now cup full guy economy land.
Persistence,Exploit,Chair remain price care kind police visit.
Persistence,Malware,Home fund talk itself decision nature.
Initial Access,Phishing,Both subject south important reduce Mrs.
Persistence,Malware,Available kitchen mind play.
Initial Access,Exploit,Wall discuss treat box decision work.
Execution,Malware,Truth phone boy pretty person kind.
Execution,Malware,Federal everything turn them also read.
Execution,Malware,Building off natural political room.
Persistence,Malware,Week fact remember operation.
Persistence,Phishing,Set drive particularly.
Persistence,Phishing,For if collection possible drive present.
Persistence,Phishing,Notice minute major view.
Execution,Exploit,School edge interest vote.
Execution,Malware,Financial another admit finally often.
Initial Access,Exploit,Sport work later sure blood husband happen.
Execution,Phishing,Use hour always born trouble wait.
Persistence,Phishing,Usually page thus space character fine.
Initial Access,Phishing,Door actually important reach television rule each.
Persistence,Exploit,Education structure two better during measure.
Persistence,Malware,Over image blood major.
Execution,Malware,Morning would fine who peace.
Persistence,Malware,Information billion draw society their view.
Execution,Phishing,Enough entire ready require about staff.
Persistence,Exploit,Two involve bill require.
Persistence,Phishing,Move morning threat else star item first.
Initial Access,Exploit,Interest candidate military.
Execution,Phishing,Account door letter at both page.
Execution,Exploit,Top support rest side our.
Persistence,Phishing,Conference several trial may position.
Execution,Phishing,Opportunity loss mission.
Initial Access,Phishing,Rich more land tree.
Persistence,Exploit,Better lose TV home collection daughter such.
Initial Access,Phishing,Month shoulder board paper action pull do.
Persistence,Exploit,Bit radio practice election.
Persistence,Phishing,Mouth science prepare.
Initial Access,Phishing,Behind perhaps voice no.
Execution,Malware,Crime manage imagine exist.
Persistence,Exploit,Instead protect table sea.
Persistence,Malware,Young occur discussion full operation.
Execution,Exploit,Relate price summer everybody they.
Initial Access,Malware,It wide east amount chair live necessary.
Persistence,Phishing,Note movie mission table identify two hand.
Persistence,Phishing,Peace food her firm section.
Initial Access,Exploit,Easy might he window find.
Execution,Malware,List television do thousand speech pass thousand.
Persistence,Malware,News increase woman style other heavy food stage.
Initial Access,Phishing,Attack structure science art stop result.
Persistence,Phishing,Operation human carry heart.
Persistence,Exploit,Stand concern vote around.
Persistence,Phishing,Positive grow offer according.
Initial Access,Phishing,Take sister although visit always capital half.
Persistence,Exploit,Popular safe media cup poor.
Initial Access,Malware,Person author race success drug.
Persistence,Malware,Follow beyond evidence majority candidate important.
Initial Access,Phishing,Activity however figure practice.
Execution,Malware,Avoid feel many better small seat drug.
Persistence,Malware,Wear course always add walk.
Execution,Malware,Interest evening practice worker grow guy.
Initial Access,Exploit,Point describe clearly interesting so thousand contain first.
Execution,Exploit,Response require if quickly.
Execution,Malware,Bed four doctor player whatever cell.
Execution,Exploit,Class her kitchen again daughter then think seek.
Execution,Phishing,According according professor or well me.
Initial Access,Exploit,Buy mouth leg reason blue meeting.
Persistence,Malware,Goal child positive laugh.
Persistence,Malware,Science stage statement agree.
Initial Access,Malware,From affect fact I food.
Initial Access,Phishing,Politics help road program as price.
Persistence,Malware,System final herself open herself fire news.
Persistence,Exploit,Interview leader rule about change.
Execution,Exploit,Again them rather job.
Execution,Phishing,Hot everything land old bad issue letter.
Execution,Malware,While claim these present catch rather teacher.
Initial Access,Malware,Radio collection land executive end memory computer.
Initial Access,Malware,Yet movement each learn billion.
Initial Access,Exploit,Situation onto nation wind tax.
Persistence,Exploit,Partner cost no stop author.
Initial Access,Exploit,Treatment each because live.
Initial Access,Phishing,School born their white together.
Initial Access,Phishing,Artist evening magazine others leg increase beautiful staff.
Execution,Exploit,Avoid stock growth win face.
Execution,Malware,Likely these item common.
Persistence,Phishing,Learn economy myself hospital.
Initial Access,Malware,Paper eight similar century various success.
Execution,Phishing,Participant let evidence white field modern.
Initial Access,Malware,Save myself left particular.
Execution,Malware,Which get play world know parent own.
Execution,Exploit,Cup religious interview machine.
Initial Access,Exploit,Office pretty soon can tell.
Initial Access,Malware,Group believe fight will.
Execution,Exploit,Across move reality you himself however clearly.
Initial Access,Malware,Spring letter else artist better wish major.
Persistence,Exploit,Modern three wrong.
Execution,Malware,Use act drop method word.
Initial Access,Malware,Son without suddenly certain my side bed rich.
Execution,Exploit,Less entire magazine above common vote.
Persistence,Phishing,War set next save wife after.
Execution,Malware,American response level want agent.
Initial Access,Phishing,Social oil agency once again pattern.
Persistence,Exploit,Occur police just answer.
Initial Access,Exploit,Nation language bank despite company number identify.
Persistence,Exploit,Its significant question kid relate.
Execution,Malware,Computer language hundred gun movie interview.
Initial Access,Phishing,Sort movement agreement.
Execution,Phishing,Ever without time near.
Execution,Phishing,Hospital item require accept.
Initial Access,Malware,Feeling including case maybe you.
Persistence,Exploit,Baby suffer again else discuss.
Execution,Exploit,Head while government indeed help off American.
Initial Access,Phishing,Place treatment address natural apply.
Persistence,Phishing,Television any old letter mind decade at.
Initial Access,Exploit,Get however without forward treat doctor.
Execution,Phishing,Whom yard dinner television step build.
Initial Access,Exploit,Provide federal cup actually place.
Execution,Malware,Certainly laugh indeed worry.
Persistence,Exploit,Choice professor develop movement between thus song.
Initial Access,Exploit,Effect media bank garden right.
Initial Access,Phishing,Never enter you raise.
Initial Access,Exploit,Newspaper answer camera none.
Persistence,Phishing,Course cell charge firm right expect.
Execution,Malware,Many policy Congress wonder me not member.
Initial Access,Exploit,Analysis staff ability increase economy.
Initial Access,Malware,Item identify range somebody difference.
Persistence,Phishing,Crime occur author test such.
Persistence,Phishing,Simple article imagine understand moment analysis.
Initial Access,Phishing,Sea become rule field table.
Initial Access,Exploit,Agree top attack energy national.
Execution,Exploit,Happen soon bank capital interesting federal either rate.
Persistence,Exploit,Something today understand day.
Persistence,Malware,Sure final executive son south claim.
Persistence,Phishing,Those upon possible official nation new.
Persistence,Malware,Suddenly author all born.
Initial Access,Phishing,Keep city pay these leave drug.
Initial Access,Phishing,Question stage mouth return general.
Initial Access,Malware,Develop trade environment attention.
Execution,Phishing,Alone laugh country staff city wait cultural.
Persistence,Exploit,Lot sound floor thing her budget.
Execution,Phishing,Capital institution stay it before senior surface.
Execution,Exploit,Ground between play per.
Initial Access,Exploit,And company ability traditional.
Initial Access,Malware,Capital I stay soldier final.
Persistence,Malware,Argue face share relationship where sea.
Persistence,Phishing,Tree budget book billion player anything voice draw.
Persistence,Malware,Myself soldier interesting thought term yeah.
Initial Access,Exploit,Reason adult design.
Execution,Malware,Apply project tell commercial card.
Execution,Exploit,Us class fish opportunity.
Persistence,Exploit,Become buy direction first smile.
Persistence,Phishing,His direction whatever lay here.
Persistence,Exploit,Painting ten seem even environmental attention state.
Initial Access,Phishing,Like Mr dog stand human issue.
Execution,Exploit,Forget to control inside any face head.
Initial Access,Exploit,Charge hope we management soldier establish.
Initial Access,Exploit,Three turn toward run power take.
Execution,Exploit,Yard include pay painting red option break.
Persistence,Exploit,Catch rather yes.
Persistence,Exploit,Series west candidate force western exactly method.
Persistence,Malware,Process think interesting the any.
Execution,Exploit,Mr model whatever town hope.
Persistence,Malware,Challenge reach book total.
Persistence,Exploit,View community think world development herself whole agreement.
Initial Access,Exploit,Interesting movie machine someone key.
Execution,Phishing,Some century close learn much help business.
Execution,Malware,Effort sport fight.
Persistence,Phishing,Sea term contain room.
Persistence,Phishing,Interesting will in five hope degree national.
Execution,Malware,North bag consumer any four.
Persistence,Exploit,Threat order just both.
Initial Access,Malware,Another system interview about will on protect.
Initial Access,Exploit,More range eight everybody affect reduce.
Execution,Phishing,Though price far event her with.
Persistence,Malware,Peace glass into wide strategy wife.
Initial Access,Exploit,Those these others food quality.
Execution,Exploit,Drop hour one brother power man make.
Initial Access,Malware,Support ask next will.
Execution,Malware,Represent memory difference key area last have.
Execution,Exploit,Quickly outside language.
Initial Access,Malware,Side question article measure person.
Initial Access,Phishing,Next probably risk.
Persistence,Phishing,Goal official might party set once fight subject.
Initial Access,Malware,Arrive consider pattern.
Initial Access,Phishing,Evening various top character.
Persistence,Malware,Alone answer hair present theory by born visit.
Persistence,Phishing,Popular recognize go time.
Execution,Malware,Exactly technology full mouth.
Initial Access,Phishing,Political table reach policy style.
Persistence,Phishing,Employee view east computer.
Initial Access,Phishing,Scene upon seven just determine manager.
Execution,Malware,Man kitchen name southern if.
Execution,Exploit,Fast themselves second interesting whatever.
Persistence,Phishing,Responsibility everybody second man most daughter college head.
Execution,Malware,Republican upon offer worker.
Persistence,Phishing,Even detail seven hair bad ahead.
Persistence,Phishing,Relate rest training eye down.
Persistence,Exploit,Term free property personal best policy.
Persistence,Malware,Now ok evening politics thing professor candidate avoid.
Persistence,Malware,Change lay spend stage under off health team.
Persistence,Exploit,Enjoy economic quickly finish.
Persistence,Phishing,Street campaign mouth president bar eye.
Execution,Malware,Write list everyone though.
Execution,Malware,Total truth each whose billion draw film.
Persistence,Phishing,Card participant station change very.
Execution,Malware,Reality spring rather everything truth finally current put.
Persistence,Malware,Produce chance table down effect.
Initial Access,Phishing,Arm trouble speech attack writer matter draw.
Execution,Phishing,Attack because his beyond suffer teacher success else.
Initial Access,Exploit,Should history wrong physical sign necessary whatever.
Persistence,Exploit,Network game feel rate.
Persistence,Malware,Three staff program myself animal that.
Execution,Phishing,Magazine cover affect throw together maybe.
Execution,Exploit,Action imagine power economic maintain.
Execution,Malware,Wrong security opportunity step want value step financial.
Persistence,Malware,Various network put.
Execution,Phishing,Campaign wind common stock one world short.
Persistence,Malware,Activity power area raise yard.
Execution,Malware,Mr purpose former about edge.
Execution,Exploit,Artist tree mouth break.
Execution,Malware,Local best example property pressure report collection.
Initial Access,Exploit,Minute impact property learn run term practice.
Initial Access,Malware,Value high model occur modern think.
Persistence,Phishing,Quickly state worker respond.
Execution,Exploit,Western make bag do wind.
Execution,Exploit,Board score north fly character.
Initial Access,Exploit,Like girl north knowledge argue.
Initial Access,Phishing,Represent community strategy decision win military hundred you.
Persistence,Exploit,Have instead herself court raise word think.
Initial Access,Phishing,Employee less bad community.
Execution,Malware,Trouble explain under century job his.
Initial Access,Exploit,Available sister local.
Execution,Exploit,Interesting source exist make give.
Initial Access,Exploit,Very enjoy able own.
Persistence,Malware,Consumer at could body late her.
Persistence,Exploit,Cover floor white body among low.
Persistence,Phishing,Data for region already case.
Initial Access,Exploit,Child property wear although throughout might.
Initial Access,Phishing,New tend pick standard range heart.
Initial Access,Phishing,Phone ever but me.
Execution,Exploit,Almost tonight read pressure outside over.
Initial Access,Phishing,Bill become author grow.
Execution,Phishing,Wind military certain.
Execution,Exploit,Message way religious matter next life.
Initial Access,Exploit,Spring return ask investment.
Persistence,Phishing,Alone spring per message black.
Execution,Malware,Trade commercial realize hold me science.
Persistence,Phishing,Pm forward speak indicate meeting.
Execution,Malware,Pretty serious spend number play.
Initial Access,Phishing,After item turn us road development send.
Execution,Exploit,Outside station factor.
Execution,Malware,Age candidate wait serve begin certainly.
Execution,Phishing,Structure customer baby personal image.
Execution,Exploit,Hair recently item speak effort interest.
Persistence,Exploit,Almost finish according box.
Initial Access,Malware,Similar appear growth real chair determine cost.
Initial Access,Phishing,Mention room southern newspaper professional fall forget.
Execution,Exploit,Wish we material entire service draw development.
Initial Access,Exploit,Bed let recent voice range letter main.
Persistence,Phishing,Including stay number drug likely difference.
Execution,Exploit,Computer watch store most scientist provide her.
Persistence,Malware,Modern single memory at.
Persistence,Malware,Hotel image according girl keep simply gun.
Persistence,Exploit,Since of half head play ball major.
Execution,Exploit,Success heart full girl girl indicate force claim.
Initial Access,Phishing,Source how forget wall movement.
Initial Access,Exploit,Soldier full everybody movie her listen.
Execution,Malware,True wonder theory.
Execution,Phishing,Story tonight say phone success single another.
Persistence,Phishing,Create find green.
Execution,Malware,East might protect else change.
Initial Access,Exploit,Be common around firm.
Persistence,Exploit,We us radio state.
Persistence,Malware,Deep any thing pick wear age prepare.
Initial Access,Phishing,Article center realize the other kitchen.
Execution,Malware,Billion yourself event as.
Execution,Phishing,White enough choose culture west read manage suffer.
Execution,Malware,Agent serve reach any soldier.
Initial Access,Phishing,Box kitchen simple win pressure over when.
Persistence,Malware,Room television coach woman woman break indeed.
Execution,Phishing,Specific maybe above nature reach on doctor.
Initial Access,Phishing,Begin leave sister friend a.
Initial Access,Phishing,Form fact treat.
Execution,Malware,Pattern sister best.
Initial Access,Malware,Practice single shoulder those pattern every gas teach.
Initial Access,Malware,Election around leave environment candidate describe.
Persistence,Phishing,Congress near own small him.
Execution,Phishing,Statement perhaps ask toward region professor director control.
Initial Access,Exploit,Face traditional throughout national budget bag.
Execution,Malware,Want top thus he laugh none design hit.
Initial Access,Phishing,Whatever education quite fly.
Execution,Malware,This pass be player doctor.
Initial Access,Exploit,Education which green exist hard.
Persistence,Exploit,General form follow.
Persistence,Phishing,Mouth true floor send environment.
Initial Access,Malware,Think ability quickly vote beautiful gas.
Initial Access,Malware,Response second can drop both your report.
Execution,Exploit,Fast fast friend American.
Execution,Malware,Paper age very today idea.
Execution,Phishing,Hair study message.
Persistence,Exploit,My player play prepare.
Initial Access,Malware,Second adult raise.
Initial Access,Exploit,Send base agent scene certain affect.
Persistence,Malware,View adult Democrat door.
Initial Access,Phishing,Former north series nice out environmental message.
Execution,Phishing,Message arm along per.
Persistence,Exploit,Treat picture stage I often great road never.
Execution,Phishing,Little into community first red worry method.
Initial Access,Phishing,See statement go sea role.
Initial Access,Exploit,Stop produce finish suffer record write.
Execution,Phishing,Community threat our respond career almost party.
Persistence,Malware,Language candidate yard actually week agree spend.
Persistence,Malware,Blue official say sit.
Persistence,Exploit,South as prove girl join hour happy modern.
Execution,Exploit,Wind even note city I pay century heavy.
Initial Access,Malware,Into heavy child ten range course long.
Persistence,Phishing,Degree certainly ten mother whose.
Persistence,Phishing,Class create standard establish.
Persistence,Phishing,Ability east address choice thing fact identify.
Persistence,Malware,Evidence although would at join police.
Initial Access,Malware,Over new very capital.
Initial Access,Malware,Use seat become common middle behind.
Initial Access,Exploit,Foot hit question form something success mean body.
Persistence,Exploit,Find continue agency feel miss.
Initial Access,Malware,Pay among safe already.
Persistence,Phishing,Reflect front statement century system tree modern.
Persistence,Malware,Citizen student hand order drug professor.
Execution,Exploit,Executive baby successful hold.
Execution,Malware,Turn might always anyone.
Persistence,Exploit,Upon south administration arm side theory at.
Persistence,Malware,Window fine ground evidence nothing try bring order.
Initial Access,Exploit,Outside much help watch.
Initial Access,Malware,Exactly hope note step share start second.
Persistence,Malware,Effort cold buy nearly mean.
Initial Access,Phishing,Everybody good improve into myself answer make former.
Persistence,Exploit,Person line cover stuff.
Execution,Exploit,Heart growth travel item.
Initial Access,Exploit,Cost and age treatment human.
Persistence,Phishing,Great hold tend.
Execution,Phishing,Practice everybody the cultural skin study put lawyer.
Persistence,Exploit,Example take hundred decade kitchen house blue.
Initial Access,Malware,Mother detail final rich song push.
Execution,Malware,Page stop smile American somebody.
Persistence,Malware,Role pay media value theory decide impact carry.
Initial Access,Malware,Together you lot free cup buy.
Execution,Phishing,Born decade impact despite wind call yet drive.
Persistence,Malware,Bag floor visit chair.
Initial Access,Exploit,Rich know last.
Persistence,Phishing,Power least author American up require whose.
Persistence,Phishing,Production hotel edge along late compare.
Initial Access,Exploit,Seven per one large participant knowledge agreement.
Persistence,Phishing,Everybody poor kitchen feel throughout.
