,Transportation_Method,Storage_Facility_Type,Distribution_Network_Type,Food_Waste_Metrics,Crop_Type,Soil_Texture,Soil_Health_Index,Supply_Chain_Sustainability_Index
1103,Rail,Dry Storage,Local,1.966024907424245,Rice,Silty clay loam,41.951245327913476,5.399253169614477
1104,Truck,Cold Storage,Regional,3.0388926864142607,Beans,Clay loam,90.92293155932845,7.583938142847095
1105,Ship,Dry Storage,Global,2.51983980903901,Rice,Sand,59.3786446449718,4.432488967662093
1106,Ship,Cold Storage,Global,2.793940912010535, Millet,Silt loam,75.82035599218969,4.1242653738529835
1107,Ship,Dry Storage,Global,4.922592878256198,Rice,Silt,65.28497026996712,8.572236390633991
1108,Truck,Cold Storage,Regional,2.4010894826773104,Beans,Silt,80.91474619531716,1.3177202906266268
1109,Truck,Dry Storage,Local,2.8087317574404316,Rice,Loam,63.54696625275314,9.772632525317567
1110,Truck,Dry Storage,Regional,1.5340622054112782,Wheat,Sand,50.116594067889785,6.833616024388361
1111,Truck,Cold Storage,Regional,1.1918309297479506,Rice,Sandy loam,55.43683596975475,4.892350493794979
1112,Ship,Dry Storage,Global,4.1016380583699785,Rice,Sandy clay,90.135438611524,6.652490780353827
1113,Ship,Dry Storage,Local,3.2827327002879145,Beans,Loam,62.76242850459089,2.104668518130845
1114,Rail,Dry Storage,Regional,4.04281922417558, Millet,Loam,44.941453257122646,5.626472097641928
1115,Rail,Cold Storage,Global,1.5994511955462065, Millet,Loam,95.42237716540772,9.86585971005818
1116,Truck,Dry Storage,Regional,3.2873150847307637,Beans,Silt loam,85.7620319548864,3.117424940620362
1117,Ship,Cold Storage,Regional,2.014569897365502,Beans,Silty clay,33.89663022393394,7.5005028913271445
1118,Ship,Dry Storage,Global,1.9122472676000797,Beans,Silty clay loam,99.92600733863624,4.914742382485306
1119,Ship,Dry Storage,Global,1.046104056211941,Wheat,Loam,78.64486875080716,6.872123336391582
1120,Rail,Cold Storage,Local,1.5213628942762876,Maize,Silty clay loam,41.21866193284109,2.843985058225979
1121,Rail,Dry Storage,Regional,2.2370724459987814,Rice,Silty clay loam,46.60173769090175,5.234184843558421
1122,Ship,Dry Storage,Global,1.4675150423637562,Beans,Sand,78.47118368690829,9.820834424733476
1123,Ship,Cold Storage,Global,4.94343376164375,Beans,Silt loam,84.58327386953854,2.757584359144086
1124,Ship,Dry Storage,Local,2.2345305940958027,Beans,Silty clay loam,46.73251602048643,6.728005250638814
1125,Rail,Cold Storage,Local,1.5212957868093127, Millet,Loam,47.98781977294895,6.180379738901158
1126,Ship,Cold Storage,Global,1.796329251311831,Beans,Silt loam,51.49844864104426,6.08546427661363
1127,Ship,Cold Storage,Local,3.350812913365906,Rice,Loam,71.86128553856457,6.536109606864554
1128,Truck,Dry Storage,Global,1.256174095459154,Beans,Loamy sand,42.02713248108938,5.520141763194053
1129,Truck,Cold Storage,Regional,4.4497365205646275,Rice,Sandy clay,37.297023921934425,1.1523767523189221
1130,Rail,Cold Storage,Local,4.845998716948589,Wheat,Loamy sand,77.52048623598594,9.100871303168061
1131,Ship,Dry Storage,Regional,1.9869896826695235,Maize,Loamy sand,84.53685578552191,8.442809447356279
1132,Ship,Cold Storage,Regional,2.8003810743634374, Millet,Sand,65.06505830915538,2.567509128290092
1133,Truck,Dry Storage,Regional,1.0885378041179883,Rice,Sandy loam,55.46828971878698,4.7194585964098215
1134,Rail,Dry Storage,Global,3.562840898908886,Wheat,Silty clay,60.24298994685334,7.934940826242111
1135,Truck,Dry Storage,Regional,2.6557042322103555,Maize,Sandy clay,57.18854837103663,9.820560838485559
1136,Truck,Dry Storage,Regional,2.080233864406223,Maize,Sand,97.19894357663726,9.560233417976077
1137,Truck,Cold Storage,Regional,1.827348442466434,Maize,Loam,83.7662933653398,9.094232797085567
1138,Truck,Cold Storage,Global,3.6160923106350418,Rice,Sand,44.56610503950772,2.4253650756922567
1139,Ship,Cold Storage,Regional,2.6648681241292578,Wheat,Loam,56.893240643778604,9.230275954081044
1140,Ship,Cold Storage,Regional,1.718637156119648,Beans,Sandy loam,68.08086039541769,8.906004216559715
1141,Truck,Cold Storage,Local,3.756436325947296,Wheat,Silty clay loam,72.90901034445818,4.3925492004975055
1142,Rail,Dry Storage,Global,3.2602891321467746,Wheat,Sand,62.772872722013695,4.550703350826359
1143,Rail,Cold Storage,Regional,4.434688219717985,Wheat,Clay loam,86.70886445083714,5.139180297596447
1144,Rail,Cold Storage,Local,1.4699035955059716,Rice,Silty clay,83.73242136207622,6.905580678697753
1145,Rail,Cold Storage,Global,4.142666407777824,Rice,Silty clay loam,65.36105430397167,3.347520543847142
1146,Truck,Dry Storage,Global,3.694067147269036,Rice,Clayey,89.81005707472113,1.2065358649595022
1147,Ship,Dry Storage,Global,1.4600437473123913,Wheat,Sandy clay loam,82.57626713096701,2.27106572137518
1148,Rail,Cold Storage,Global,3.779282919486883,Rice,Sand,84.50072941044503,4.9610431681909635
1149,Truck,Dry Storage,Global,2.7661891555193217,Maize,Loam,96.94805456033916,3.5380231248358163
1150,Rail,Cold Storage,Global,4.779939142223372,Rice,Sandy clay,48.652685884644185,7.880649049325187
1151,Rail,Cold Storage,Regional,1.5664454024715972, Millet,Sand,48.73537136567944,1.9602106349434423
1152,Truck,Dry Storage,Regional,3.571333563262952,Rice,Loam,92.2266578983448,9.257187029993235
1153,Ship,Dry Storage,Regional,2.527920181851784,Rice,Sandy loam,84.05584613699756,9.0579446194952
1154,Ship,Cold Storage,Regional,4.827258682363511,Rice,Loamy sand,94.85818790049392,9.178811352399594
1155,Truck,Cold Storage,Local,2.319899581161106,Rice,Sand,34.41911122271171,7.65648998742994
1156,Ship,Dry Storage,Regional,4.848743637967201, Millet,Silt,73.94299540831176,1.9629997433523938
1157,Truck,Cold Storage,Global,4.605943404402996,Beans,Clayey,40.12398366864132,4.943238142326101
1158,Truck,Dry Storage,Regional,2.0815329412426253,Rice,Sandy clay loam,65.27280388048078,2.1826483462491737
1159,Truck,Cold Storage,Regional,4.214167107305711,Maize,Silt,40.902285229741096,9.889292734849743
1160,Ship,Dry Storage,Global,4.982416807214024, Millet,Silty clay loam,38.96549562894155,3.9973458105880595
1161,Truck,Cold Storage,Regional,2.0106520086851294,Beans,Clayey,30.85178417674232,6.267974877010559
1162,Rail,Cold Storage,Regional,2.7471086772932787,Rice,Silty clay loam,74.1167168668033,8.014537488197996
1163,Ship,Dry Storage,Regional,3.0807229462670387,Beans,Loamy sand,55.13158316830602,9.28554475803081
1164,Ship,Cold Storage,Local,2.1797245432154573,Maize,Loamy sand,37.36317994152802,7.79992953257224
1165,Ship,Cold Storage,Regional,1.061059358584119, Millet,Silty clay loam,52.59864444119169,7.070534008896138
1166,Ship,Dry Storage,Global,1.8805169767901067, Millet,Sand,41.82608640161095,5.1938360383433615
1167,Rail,Cold Storage,Global,2.127747537367034,Beans,Silt loam,95.91863820511617,6.448601203754716
1168,Ship,Cold Storage,Regional,2.7743988052727486,Rice,Sand,52.40034200329437,1.8474742796754684
1169,Ship,Cold Storage,Regional,1.6844099136536075,Wheat,Sandy clay loam,53.37674663025729,8.955302877651363
1170,Truck,Dry Storage,Regional,4.4930174267666905, Millet,Silty clay loam,88.79006023797099,5.893995779558969
1171,Ship,Dry Storage,Global,3.8196445309253444,Wheat,Silt,75.3429032900203,1.3612154539144843
1172,Rail,Dry Storage,Global,1.340801910238648, Millet,Loamy sand,79.71201251821009,9.279119130939078
1173,Rail,Cold Storage,Local,3.6003698045597257,Rice,Silt,74.52012627922724,5.403717764531818
1174,Rail,Cold Storage,Local,3.6146259056224816,Rice,Silty clay loam,96.23373987639958,8.817302274049016
1175,Rail,Cold Storage,Local,4.824884694574511, Millet,Sandy loam,44.490058209063164,8.711991587848212
1176,Ship,Cold Storage,Global,1.012083485424645,Beans,Silty clay loam,99.2327469229057,8.341764287114033
1177,Ship,Dry Storage,Local,1.9917297992232288,Rice,Clay loam,88.16693242895593,1.5526271736582047
1178,Rail,Cold Storage,Regional,4.711165917501262,Rice,Clayey,71.22808122134396,3.22359980881788
1179,Rail,Cold Storage,Regional,4.728535661593132,Maize,Sandy clay loam,76.36601370773744,8.879930852188878
1180,Ship,Cold Storage,Global,3.8823456774825496,Rice,Clay loam,75.41781135504299,9.090919504468845
1181,Rail,Dry Storage,Local,4.063053284190159,Maize,Sandy clay,34.087735684140775,5.122619761319255
1182,Truck,Cold Storage,Regional,1.3659318317185885,Rice,Silt,45.2611548972357,4.9603732088878205
1183,Rail,Cold Storage,Global,3.0555033391129345,Rice,Sandy loam,97.30296191673244,2.5762657049753477
1184,Rail,Cold Storage,Local,1.9263319651559976,Beans,Sandy clay loam,67.40551002015656,9.715697098220362
1185,Truck,Cold Storage,Regional,1.724872174454469,Beans,Loam,56.484752228333846,2.9182462782313885
1186,Truck,Cold Storage,Local,4.24121319649333,Rice,Silty clay,83.34269243723526,2.71843105915689
1187,Ship,Dry Storage,Global,1.5401525467221897, Millet,Sandy clay,66.71632598590668,6.946560731342569
1188,Ship,Cold Storage,Local,2.874606547985541, Millet,Silt loam,30.92139400023283,3.185598727004029
1189,Truck,Cold Storage,Global,4.754312958344132,Rice,Clay loam,81.53663177005825,9.448944499129508
1190,Truck,Cold Storage,Local,1.7433282222613702, Millet,Sandy clay loam,81.2552292037003,1.0981629578601533
1191,Ship,Cold Storage,Regional,4.9119736949529385,Rice,Sandy clay loam,41.56040984769821,1.0517793609097117
1192,Rail,Cold Storage,Global,4.977151943044236,Beans,Clay loam,96.96620618969493,5.543891212920396
1193,Truck,Cold Storage,Global,3.2224686187296117,Wheat,Sandy clay,45.673569207878,5.392562139221248
1194,Ship,Cold Storage,Global,1.6805709607086317,Maize,Sandy loam,62.04245571675395,2.4702761971081943
1195,Rail,Cold Storage,Local,2.2644195517635826, Millet,Sandy loam,38.03151728826403,5.4506760667325596
1196,Truck,Cold Storage,Local,2.6979713307061406, Millet,Loamy sand,72.22976236154119,4.704949946529878
1197,Rail,Cold Storage,Regional,2.2372968974328917,Beans,Sand,56.281578404004875,9.01296572808132
1198,Ship,Dry Storage,Global,2.122542319506063, Millet,Sandy clay,54.722142354679384,1.0832852819526713
1199,Truck,Dry Storage,Global,4.888918836865431,Rice,Silt,87.8883814054663,9.78642824529657
1200,Rail,Dry Storage,Local,1.6134593096629826,Rice,Silt,30.669319899533477,6.6195348786625825
1201,Truck,Dry Storage,Local,3.933311634867449,Wheat,Sandy clay,85.85627396246957,2.366591010807481
1202,Rail,Cold Storage,Regional,1.0016411577566995,Wheat,Clayey,70.00139960236551,1.4208401243004962
1203,Ship,Dry Storage,Regional,3.3847306776095074,Wheat,Clay loam,99.02689594361394,5.842950927033087
1204,Ship,Dry Storage,Local,4.6637720158162095,Rice,Silt,71.26102544229744,3.114011493746381
1205,Truck,Cold Storage,Global,2.151736376372876,Wheat,Silt,33.87653939035705,3.710489833011333
1206,Rail,Dry Storage,Regional,1.7421039010308768,Wheat,Sand,33.54517285106084,3.2061894835106224
1207,Truck,Dry Storage,Local,3.606719179513708,Rice,Clayey,91.82070904602824,6.851550822152597
1208,Truck,Cold Storage,Local,3.8504056291935727,Beans,Sandy clay loam,88.88499018577372,5.981760659045202
1209,Rail,Cold Storage,Global,3.7521220758079252, Millet,Sandy clay loam,54.212305290741625,1.7017698116963036
1210,Rail,Cold Storage,Local,2.277267520085496,Maize,Sandy clay,73.2622738926796,5.738738798576579
1211,Rail,Dry Storage,Local,2.0088096086373235,Rice,Silty clay loam,64.27139499389202,8.1207078900697
1212,Ship,Dry Storage,Regional,4.823675199848177,Rice,Clayey,97.70148385952365,1.7307513173829188
1213,Truck,Cold Storage,Local,4.693198033079717,Maize,Sandy clay loam,96.49726306138241,9.00765078607378
1214,Truck,Cold Storage,Local,2.829266439571281,Maize,Clay loam,98.86873059785422,6.204759845029562
1215,Ship,Dry Storage,Regional,4.384775464617494,Wheat,Loam,90.6514146443985,9.55562022343285
1216,Rail,Cold Storage,Global,2.809293910537184,Maize,Silty clay loam,93.66861135425708,2.3332709595013807
1217,Ship,Dry Storage,Global,2.6975560722900416, Millet,Sand,45.209514513699546,9.942084994179837
1218,Ship,Cold Storage,Regional,1.6270517903971786, Millet,Clay loam,88.17047522928422,6.798455793727092
1219,Ship,Cold Storage,Regional,2.7056242259678913, Millet,Sandy loam,79.61999792429923,6.107447795329565
1220,Truck,Dry Storage,Global,3.149667754399228, Millet,Sand,97.39505561796491,5.637516617008768
1221,Ship,Cold Storage,Global,1.0900173097147459, Millet,Loamy sand,69.98832799098335,1.2128893578848148
1222,Truck,Cold Storage,Global,2.7764520207016257,Wheat,Silt,35.96170166973894,9.456752723946202
1223,Truck,Cold Storage,Global,4.125424873580801,Rice,Silt loam,71.81792238310071,6.795950255687785
1224,Truck,Dry Storage,Global,3.7201842254970794,Maize,Sandy loam,78.06066496149015,1.824638360493621
1225,Rail,Cold Storage,Regional,3.54062795545574,Rice,Silty clay loam,45.42247200986998,1.1885695326507242
1226,Truck,Cold Storage,Local,4.63822171374881,Maize,Clay loam,57.58793684589099,1.457052753130762
1227,Truck,Cold Storage,Global,1.07212803930092,Wheat,Sandy loam,71.89523898361759,6.4845618708901664
1228,Rail,Cold Storage,Global,3.2281903447689366,Wheat,Loamy sand,56.187401612155384,6.526138734051267
1229,Truck,Cold Storage,Local,4.149395393638828,Beans,Clay loam,56.24634020670648,5.49700562603297
1230,Ship,Cold Storage,Local,3.165341530805069,Beans,Silt loam,39.31606474209582,3.7608923858765637
1231,Ship,Dry Storage,Local,2.2955822103215167,Wheat,Silty clay loam,95.85227061543662,5.785684584531772
1232,Truck,Dry Storage,Local,1.5450022603679114,Wheat,Sand,82.53460691465676,5.646716387886321
1233,Rail,Cold Storage,Local,4.550252287264765,Maize,Sandy clay,30.08704072062714,1.1747400388890905
1234,Ship,Dry Storage,Local,2.883049569550412,Wheat,Sandy loam,83.59292988155156,3.5422230729474826
1235,Rail,Dry Storage,Regional,4.512460787942805,Rice,Silt loam,81.78564948605012,1.4786680732043453
1236,Rail,Cold Storage,Local,3.3434084897326732,Maize,Loamy sand,30.68116721088661,9.1013927630289
1237,Ship,Dry Storage,Local,3.696768466460003,Wheat,Sandy loam,55.87230083296352,7.527008465066219
1238,Rail,Dry Storage,Regional,4.2170446175138,Maize,Loam,72.47233832278715,9.96503653173621
1239,Ship,Dry Storage,Local,3.6366221784005375,Maize,Loam,61.69254563006251,3.7195413697475908
1240,Rail,Dry Storage,Global,2.592219362715751, Millet,Silty clay,84.45902831043551,8.906372629812193
1241,Ship,Dry Storage,Global,3.054533535714604,Beans,Silty clay loam,59.782083284410376,6.427488411392336
1242,Truck,Dry Storage,Local,4.2121820987035195,Maize,Sand,40.77040786176859,5.078128662132444
1243,Ship,Dry Storage,Regional,2.4946011854919368,Maize,Clayey,98.349093699168,3.0031580015977157
1244,Ship,Dry Storage,Global,2.5524858270739883, Millet,Silty clay loam,46.94279949432326,7.645529487575286
1245,Ship,Cold Storage,Regional,1.3827604642320046,Wheat,Silty clay loam,80.23846173789326,9.137266740138699
1246,Ship,Cold Storage,Global,4.65833774088699,Maize,Silty clay,40.020941816485035,3.1177755826783367
1247,Rail,Dry Storage,Local,1.364145259781767, Millet,Silt,53.03088296487529,2.578513014762513
1248,Truck,Dry Storage,Regional,3.5928367097942235,Rice,Silty clay,60.94193259012967,7.265997235043803
1249,Ship,Cold Storage,Regional,2.6527779152111908, Millet,Sand,43.45624031689447,9.792758464529673
1250,Rail,Dry Storage,Regional,2.6224775610217694,Beans,Silty clay,61.497170345802665,7.749595909936702
1251,Truck,Dry Storage,Global,3.7182073462907357,Beans,Clayey,41.0013976094225,3.56122665142884
1252,Truck,Cold Storage,Global,1.2683749305195149,Wheat,Silt,69.1304577290123,4.77959881733007
1253,Truck,Cold Storage,Global,3.3748231318057385,Wheat,Clay loam,76.45992767641357,4.458858719125345
1254,Truck,Cold Storage,Local,4.08812714388942,Beans,Silt loam,34.37039988196075,8.668855162423409
1255,Ship,Dry Storage,Global,4.312851031546376,Beans,Silt loam,90.97924847575177,7.942337009850014
1256,Ship,Dry Storage,Local,1.6821215575751012,Maize,Sand,42.95986195294249,6.300778912853682
1257,Rail,Cold Storage,Regional,4.589676200312695,Beans,Sand,45.775369772422664,3.474631993572129
1258,Rail,Cold Storage,Regional,3.624584367389769,Wheat,Clay loam,76.29448880581441,9.441896749498506
1259,Rail,Dry Storage,Local,4.527419203282731,Beans,Silt loam,62.812574230408984,6.879837022922319
1260,Truck,Cold Storage,Global,2.941122868440793,Wheat,Clay loam,64.95769194197459,9.734289817976041
1261,Truck,Dry Storage,Local,3.168133380388808,Rice,Sandy clay,38.97084891941929,6.221053297378277
1262,Ship,Dry Storage,Regional,4.6761531081146845,Beans,Loamy sand,86.40150753134859,8.390734825272526
1263,Truck,Cold Storage,Regional,4.599638173418687,Wheat,Loam,73.19379722729471,8.317948414550742
1264,Truck,Cold Storage,Local,2.792643493476008, Millet,Silty clay,39.476743031661925,4.035958991502328
1265,Truck,Dry Storage,Global,2.097650526542727,Maize,Sandy clay,56.17995569179172,9.676186506615053
1266,Rail,Cold Storage,Global,2.5726817382570566,Wheat,Silty clay loam,86.72869529145211,1.197473208378076
1267,Rail,Cold Storage,Local,2.551057314118999,Beans,Sandy loam,69.78485321906345,7.9183981789067275
1268,Ship,Cold Storage,Local,2.147467499931176,Beans,Silt,37.60541453930513,9.690013771876394
1269,Truck,Cold Storage,Global,2.0743184173318663,Rice,Silty clay,56.09439320525007,4.050173829553506
1270,Truck,Dry Storage,Regional,4.444251745918878, Millet,Sandy clay loam,46.988607891901424,6.832995290118748
1271,Ship,Dry Storage,Local,1.2794476827386467,Wheat,Sandy loam,66.22258875576085,6.060009248597895
1272,Truck,Dry Storage,Global,3.7104447283983766, Millet,Sand,89.03527902103926,7.853565787088713
1273,Truck,Dry Storage,Global,1.6912802058258092,Rice,Loamy sand,60.538699436309386,8.795601294805472
1274,Rail,Cold Storage,Regional,2.378023573576253,Maize,Silty clay,60.33394212578261,6.427401123695931
1275,Ship,Cold Storage,Regional,1.2461721365393474, Millet,Sandy clay,93.37456316289258,8.343141277433112
1276,Ship,Dry Storage,Regional,2.079894547421848,Rice,Sandy clay loam,70.33297887550907,3.8105701830032968
1277,Ship,Dry Storage,Regional,4.0736842844689685,Wheat,Sandy clay loam,69.63337611781847,3.057283528343352
1278,Ship,Cold Storage,Regional,4.540061298189034,Maize,Clayey,48.33369243127726,4.876009205795562
1279,Rail,Dry Storage,Local,1.8861086076094682,Beans,Sand,72.54059234859884,7.09962939622705
1280,Rail,Dry Storage,Global,2.8541913570356874,Rice,Sandy clay,70.31373271921774,2.6852225404485126
1281,Truck,Cold Storage,Local,2.8812961917488256,Beans,Sandy clay loam,57.779602923930476,7.1231697293670235
1282,Truck,Dry Storage,Local,4.494301223038937,Maize,Sandy clay,99.34868961294264,4.546842837148606
1283,Truck,Cold Storage,Local,4.051196211503221,Rice,Silty clay,91.73236754636608,8.160177465033687
1284,Truck,Cold Storage,Local,3.0523088734721995,Rice,Silt,82.47104030537709,1.3315223539297296
1285,Rail,Dry Storage,Local,3.6829888018870935,Maize,Silty clay,67.61419118891004,7.011843740464551
1286,Ship,Cold Storage,Regional,4.389420215637467,Wheat,Silt,62.34418613262412,6.848401029849709
1287,Rail,Dry Storage,Regional,1.0381558161021798,Rice,Sandy clay loam,42.942817665623956,9.46841928512783
1288,Truck,Cold Storage,Global,2.6115601242001945,Maize,Sandy clay loam,51.40162318102366,7.4203079820766344
1289,Rail,Dry Storage,Local,4.628972669108315, Millet,Sand,84.1772559876247,8.16671706780953
1290,Ship,Dry Storage,Global,3.9612521233758056,Beans,Sandy clay,61.7624267756286,9.141319142678515
1291,Ship,Dry Storage,Regional,3.1713654973362986,Rice,Silt loam,91.7588661598651,7.075467264627891
1292,Rail,Cold Storage,Regional,3.1185781081405337, Millet,Clay loam,40.35377954418701,3.6113827146397712
1293,Rail,Cold Storage,Regional,2.391080390417751,Rice,Clay loam,65.58429672095455,8.827964196251699
1294,Rail,Dry Storage,Local,3.082082134566058,Wheat,Sandy loam,75.2875978814916,7.728203075283775
1295,Truck,Cold Storage,Local,3.621532797853813,Maize,Sandy loam,66.17939194155483,4.819938436008041
1296,Rail,Dry Storage,Regional,2.6734521537151723,Rice,Sandy clay loam,92.2458824109491,7.394762553849659
1297,Rail,Dry Storage,Global,3.856612585568696,Maize,Loam,99.26942972803978,8.809199894630279
1298,Rail,Cold Storage,Global,4.444928909041543,Rice,Silt,38.10842608389588,9.780869182521444
1299,Ship,Dry Storage,Regional,1.6187393927394447,Wheat,Silty clay loam,39.096843285384466,9.571163535631499
1300,Ship,Cold Storage,Global,2.8061880912696977,Wheat,Sandy clay,39.122687949208476,3.9279504408772734
1301,Truck,Dry Storage,Regional,2.6320803651403244, Millet,Loamy sand,77.68239672493692,4.795243423463636
1302,Truck,Cold Storage,Global,3.7498592161989124,Wheat,Loamy sand,56.08732668470866,1.9858294447963414
1303,Ship,Dry Storage,Regional,1.9994698610317174,Maize,Silt,81.33202628861342,3.227898583162414
1304,Ship,Dry Storage,Global,3.561003659809105,Wheat,Sandy loam,58.38300310208851,8.941790876382552
1305,Ship,Cold Storage,Local,4.509956966925952,Rice,Sand,73.93247049324445,4.247649336514231
1306,Rail,Dry Storage,Regional,2.6725263991744908,Wheat,Loamy sand,83.89006039752255,6.584973927353929
1307,Rail,Dry Storage,Regional,4.64406279991688,Maize,Sandy clay loam,68.37511374584444,6.993690564763299
1308,Ship,Cold Storage,Global,4.972654955733914,Rice,Loam,67.76525133150042,8.036463476289807
1309,Rail,Dry Storage,Regional,1.4243681997918083, Millet,Clayey,36.17640276999441,2.645200272210679
1310,Rail,Cold Storage,Regional,1.9322127519394345, Millet,Loamy sand,58.75472200366043,3.7433182115299193
1311,Truck,Dry Storage,Regional,4.801519005928373, Millet,Silty clay,68.20440072574563,5.035027073123625
1312,Ship,Cold Storage,Local,4.833310745925547,Rice,Clayey,62.3386577966487,4.283569551144462
1313,Ship,Dry Storage,Local,1.390829101547034, Millet,Clayey,93.05474001318979,9.846147095737209
1314,Rail,Dry Storage,Global,1.0599940015085467,Wheat,Clay loam,93.45714424836426,8.514467228923412
1315,Ship,Dry Storage,Local,1.644400093025689,Rice,Loam,87.53421664121332,5.3171807915843745
1316,Truck,Cold Storage,Global,4.984051133528993,Rice,Loam,56.2708652761184,8.913417634778211
1317,Truck,Cold Storage,Local,1.7199984664427475,Rice,Loamy sand,80.21094061812741,4.1288765282496716
1318,Truck,Cold Storage,Global,3.0101904268880926,Beans,Sand,57.67019227487269,8.072454915012381
1319,Ship,Cold Storage,Local,4.393670905722044,Maize,Sand,46.28155192830313,3.013080382958083
1320,Ship,Dry Storage,Local,1.0816064427528254,Beans,Sandy loam,54.00318504856172,7.950898407037293
1321,Ship,Dry Storage,Global,3.417955929033838,Beans,Silt,34.967524329987484,5.108080628761555
1322,Ship,Cold Storage,Regional,2.1081017954784973,Beans,Sandy clay loam,53.2244256303253,1.9674938889301812
1323,Ship,Cold Storage,Regional,4.449339665758926,Maize,Silty clay loam,62.25195520828201,3.4593620910002407
1324,Truck,Cold Storage,Local,2.1338445970563167,Beans,Silt loam,96.8836626346581,4.620471616212082
1325,Rail,Dry Storage,Global,3.7470228811276356, Millet,Silty clay loam,51.938741035373745,7.743636204979934
1326,Truck,Cold Storage,Regional,3.6968785297895876,Rice,Clay loam,93.17174774438644,1.6568444325785578
1327,Ship,Cold Storage,Global,1.88597419543856,Rice,Sand,46.02007930764479,6.935922955833757
1328,Truck,Dry Storage,Regional,1.1391967994734005,Wheat,Silty clay,43.36782284314746,7.444122768395593
1329,Ship,Dry Storage,Global,2.636998295141589, Millet,Clayey,66.32968195025154,6.885292329331763
1330,Ship,Cold Storage,Local,2.156772607863479,Maize,Sandy loam,77.07579585081842,7.846026743508
1331,Truck,Dry Storage,Global,4.235910998454834,Rice,Clay loam,33.1032575561597,2.6035175442055447
1332,Ship,Cold Storage,Regional,4.201456753821381,Beans,Silty clay loam,45.47461055330517,6.283930195567336
1333,Rail,Dry Storage,Local,2.828095808770502,Wheat,Loam,61.89785665509215,9.47030452483492
1334,Ship,Cold Storage,Global,3.4260489012928756,Wheat,Clayey,53.170303518822706,6.497058428240839
1335,Rail,Cold Storage,Regional,3.4170380639477007,Rice,Silt,79.88347555438253,6.502027122576577
1336,Rail,Cold Storage,Local,4.3086325937104935, Millet,Loam,65.78124172289218,7.627956779019421
1337,Ship,Cold Storage,Global,2.70000965649279,Wheat,Silty clay loam,41.22513739227301,3.9988380891327315
1338,Truck,Dry Storage,Regional,2.1017867191620363,Rice,Loamy sand,92.61257655205634,7.304283111893866
1339,Rail,Dry Storage,Global,2.06013967256219, Millet,Silt,50.50339728383517,9.246104499818935
1340,Truck,Dry Storage,Global,3.1447691171288166,Rice,Silty clay,81.17917762750965,1.098059257228087
1341,Rail,Dry Storage,Local,2.7965928109288503,Rice,Sandy loam,84.59410453737868,8.831017369979788
1342,Ship,Cold Storage,Local,2.7604830839397447, Millet,Sandy clay,97.42103901792716,2.967564981329732
1343,Ship,Cold Storage,Regional,1.364549356358829, Millet,Loam,64.89552265668709,5.103309463303377
1344,Rail,Dry Storage,Local,3.8744149627607825, Millet,Loamy sand,73.10848608251025,8.671130208573741
1345,Ship,Dry Storage,Regional,1.8549467519276428,Rice,Silty clay,53.441340543567364,8.41520914710966
1346,Rail,Dry Storage,Global,1.7878145208348855,Wheat,Clay loam,77.47255053884466,9.027347303134503
1347,Ship,Dry Storage,Global,2.651033281109574,Maize,Sandy clay,62.43684401064238,9.463751133692735
1348,Truck,Dry Storage,Regional,1.9111133664712057,Maize,Clay loam,60.63566553070956,5.024412610945827
1349,Ship,Cold Storage,Global,3.3354330692320615,Rice,Sand,89.88272703812738,6.907274297209062
1350,Truck,Cold Storage,Local,2.485853357337886,Rice,Sandy clay,33.51181904490821,4.514305964734961
1351,Ship,Cold Storage,Global,2.7956468903711604,Wheat,Silt,91.73736994823079,4.156450457429493
1352,Truck,Dry Storage,Local,3.1486772864161154, Millet,Sand,89.64488864799898,4.884358695379025
1353,Ship,Dry Storage,Regional,1.8141420899272194,Rice,Silt,65.44563774932524,7.687685213044084
1354,Truck,Dry Storage,Regional,1.6230064914621192,Beans,Sandy clay loam,64.31419979439397,5.5129667242739755
1355,Rail,Dry Storage,Global,4.52168761149442, Millet,Loamy sand,55.32651576248431,8.326537070035078
1356,Rail,Cold Storage,Global,2.734894811325684,Rice,Silty clay loam,99.5921654177214,7.706966294765403
1357,Truck,Cold Storage,Local,2.6483744385301566,Beans,Clay loam,37.781853292768886,1.184306150119594
1358,Ship,Dry Storage,Local,1.142448601091366,Wheat,Silty clay loam,71.3150664940025,6.672143413955454
1359,Truck,Cold Storage,Global,2.991905210349573,Beans,Sandy clay,77.7177113078692,4.92914010977732
1360,Ship,Cold Storage,Global,3.2166788864440004,Rice,Loam,95.40310057518612,5.109660902360274
1361,Rail,Dry Storage,Regional,3.235363483818666,Maize,Loam,84.6142447799733,8.365357484829051
1362,Ship,Dry Storage,Regional,3.8281246772915374,Rice,Clayey,75.06930419680828,5.92847187476209
1363,Rail,Dry Storage,Regional,1.709927339964047,Maize,Clay loam,38.17686217684859,8.970596411130524
1364,Ship,Dry Storage,Global,2.0088925369224753,Wheat,Sand,56.16134617820272,7.415250331525214
1365,Ship,Dry Storage,Global,4.242921860921651,Wheat,Clay loam,39.71891497835897,5.975560078876475
1366,Ship,Dry Storage,Global,4.788682467373576, Millet,Sandy clay loam,91.68489127258596,7.790841785359934
1367,Truck,Cold Storage,Regional,1.5437309894692826, Millet,Clayey,82.473480889455,1.3451414583286656
1368,Truck,Cold Storage,Global,2.990598218020873,Maize,Sandy clay loam,83.02757507580606,1.2437528934538697
