,Climate_Adaptation_Measures,Disaster_Risk_Reduction_Practices,Climate-Resilient_Crop_Varieties,Crop_Type,Soil_Type,Soil_Health_Index,Farm_Resilience_Index
1285,Water Conservation,Emergency Preparedness,No,Rice,Sandy,4.867307263388438,3.089250571287995
1286,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,7.561338614381696,2.504123753669194
1287,Water Conservation,Early Warning Systems,No,Wheat,Loamy,3.1817432129037746,7.836226750135653
1288,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,6.350485291747827,4.104143154946921
1289,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,8.954715372399633,2.215633206753406
1290,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,9.196099659264743,3.833899533259748
1291,Cover Cropping,Early Warning Systems,No,Maize,Sandy,9.62906144252528,4.2277318108711786
1292,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,7.959350368719897,9.687048935551216
1293,Water Conservation,Early Warning Systems,No,Wheat,Sandy,9.153891156330236,7.281637399791309
1294,Water Conservation,Early Warning Systems,No,Rice,Clayey,3.110777847867468,5.7777068565976055
1295,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,2.7782284991542934,9.719858248143444
1296,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,1.0583927540247382,9.128257664267625
1297,Water Conservation,Emergency Preparedness,No,Rice,Clayey,7.361599216861885,5.608007709527437
1298,Water Conservation,Early Warning Systems,No,Rice,Loamy,9.4372046903237,9.151116718392826
1299,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,2.6824181053750875,4.638741922563909
1300,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,6.73249217884191,3.0737859882096217
1301,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,7.718137832995998,3.094103591398766
1302,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,9.348528116332508,6.96083971997914
1303,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,6.821742016154995,5.509632886365494
1304,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,9.732643594738771,6.930557623049021
1305,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,4.10205826911293,7.1746836783595285
1306,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,4.149356803942669,1.2009058560794585
1307,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,5.88711259012911,1.486356331131121
1308,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,4.451516930043164,5.794099539321249
1309,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,1.0128315545877937,2.7193192998406923
1310,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,7.585948225782886,6.692803919239957
1311,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,7.76545337330635,5.969671652535832
1312,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,7.722771442180934,6.271843225338021
1313,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,4.1051859994942,3.722098418479096
1314,Water Conservation,Emergency Preparedness,No,Maize,Loamy,5.700605259800548,6.75859155650107
1315,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,4.239761663590025,8.465433728365207
1316,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,1.1443276002758118,9.982641282330134
1317,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,6.062040471442769,8.545999475549928
1318,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,2.1138459947560992,6.017488837119527
1319,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,1.7203719168229654,2.740866325119609
1320,Cover Cropping,Early Warning Systems,No,Rice,Clayey,7.799491618271085,7.133012885078388
1321,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,1.0855558217629506,9.438884070021803
1322,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,9.631075992478536,2.9067988575907218
1323,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,5.637298277013192,3.303960584739194
1324,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,9.847147876355336,2.3410768907048602
1325,Water Conservation,Emergency Preparedness,No,Maize,Sandy,1.5219781522543758,7.630494792637615
1326,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,6.251765939793219,4.659053530812933
1327,Cover Cropping,Emergency Preparedness,No,Wheat,Clayey,4.143943323783201,1.5642607499774566
1328,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,8.591342435328572,8.874549923412522
1329,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,4.251004617108577,6.0190471423231
1330,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,3.344388211516142,3.979848628003202
1331,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,8.71797814389922,4.095846784549872
1332,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,4.371877824879348,3.612260981718161
1333,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,1.1514998787450532,5.099321551533777
1334,Cover Cropping,Early Warning Systems,No,Rice,Loamy,4.512601907554004,4.033375196393305
1335,Water Conservation,Early Warning Systems,No,Wheat,Clayey,6.890700421098477,5.931516736635484
1336,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,3.2892358492574365,7.961655270441648
1337,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,4.8878883318264155,7.070151550999362
1338,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,1.5104362445400297,3.650112034787054
1339,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,6.292835123625615,5.758669103858013
1340,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,7.806654314743544,8.561135439210258
1341,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,4.719813052609993,1.6138561126845292
1342,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,4.78209369521314,1.7046754028821427
1343,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,1.794542487264248,6.005530612447781
1344,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,2.817467780607843,6.752036155508229
1345,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,2.392077728151214,2.902717141983137
1346,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,5.335189917953842,7.706981140223663
1347,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,5.763299868556751,6.816370393366547
1348,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,9.54046118155834,9.309603414126578
1349,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,1.6590835384951053,2.5205878167268305
1350,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,6.398811758395424,7.762368388222096
1351,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,5.738486745954172,1.7527878152494032
1352,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,5.646097881422462,6.087631685661077
1353,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,8.858433586445438,5.967056255492312
1354,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,2.849846236259378,4.495465401820665
1355,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,1.3669594690723432,8.601140329017106
1356,Water Conservation,Emergency Preparedness,No,Maize,Sandy,7.050443568707733,1.0393358030741102
1357,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,4.106417177223822,5.681614617086686
1358,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,1.1583092459127213,2.9543819485166867
1359,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,3.2623660656137243,7.691487572047896
1360,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,3.783940967951307,1.3876068367548746
1361,Water Conservation,Early Warning Systems,No,Rice,Sandy,6.551545391058179,8.483992193634199
1362,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,2.553272146443449,8.542830040362563
1363,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,4.717489131580582,8.495794111631525
1364,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,5.3422789997604925,2.3731167405940288
1365,Cover Cropping,Early Warning Systems,No,Maize,Sandy,5.133136522276819,6.673658667049404
1366,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,9.765466900001035,1.1293062326505066
1367,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,1.409538140112665,8.631663321602797
1368,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,9.558713678071594,7.506776741577585
1369,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,6.2374349259463,5.780383578093274
1370,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,8.161549434728546,7.575322897869554
1371,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,4.873533562144679,1.84891686986595
1372,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,5.084540931312824,5.757902489591706
1373,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,8.913938491142412,3.6214884263480087
1374,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,9.063410466627118,9.753575169006757
1375,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,3.1481999328816785,8.714061555615116
1376,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,2.7931769072615635,7.599481262505792
1377,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,5.4661165648295595,9.403728717247587
1378,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,9.102493244149224,4.121589741089264
1379,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,3.9011958406555864,9.107919090893631
1380,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,6.8681315380521815,3.927144088960393
1381,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,7.37336518966541,7.595170477220377
1382,Cover Cropping,Early Warning Systems,No,Maize,Loamy,8.008071984047403,7.627752205988042
1383,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,6.075320121288669,1.1651488880868413
1384,Water Conservation,Emergency Preparedness,No,Rice,Sandy,4.622096604510727,4.249537284503757
1385,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,9.703143899190756,1.174894051676481
1386,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,6.501976779725674,9.973828158492237
1387,Water Conservation,Early Warning Systems,No,Maize,Loamy,7.557086904699437,2.099770856463142
1388,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,4.104845611262905,5.885298060832985
1389,Water Conservation,Early Warning Systems,No,Rice,Sandy,7.029542629027721,8.115006148863735
1390,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,3.320178959477133,2.8113724203480324
1391,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,3.2058722577577257,5.365474012859254
1392,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,7.432499816284837,6.466858848290357
1393,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,5.692552626366416,2.4418427895599084
1394,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,7.149489493801507,8.006999139203847
1395,Water Conservation,Emergency Preparedness,No,Rice,Loamy,3.424946416732825,3.6940281147042877
1396,Cover Cropping,Early Warning Systems,No,Rice,Clayey,6.388510069510573,2.8992076870495627
1397,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,4.9954028473280125,6.024598717936752
1398,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,6.372642581609751,4.692822648786441
1399,Water Conservation,Emergency Preparedness,No,Maize,Sandy,3.6179175901979743,9.28257350172776
1400,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,7.439058672842115,8.920564283783385
1401,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,8.25336429543519,5.350155970499949
1402,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,3.339248264719513,4.233373972530378
1403,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,3.7055850387007787,3.929661834681387
1404,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,6.950388427471837,3.4080726077335664
1405,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,7.260266568731898,5.900930683412295
1406,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,7.336897159577051,8.244807442610892
1407,Water Conservation,Emergency Preparedness,No,Rice,Clayey,7.144286542982531,3.79680947383202
1408,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,4.535269452572849,2.7108468071927336
1409,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,4.553683069633105,5.279354255649581
1410,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,3.293358612799433,1.6213097511789987
1411,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,2.4115032990672667,7.311511055167362
1412,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,7.233196414572151,5.665224396717402
1413,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,1.8386990737508155,5.4673732717556875
1414,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,9.440130581081034,3.7040084159502022
1415,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,8.440176733043062,9.14206093778563
1416,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,8.717551659615305,1.8143766266459744
1417,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,9.160019331536713,8.828416079983281
1418,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,4.677444736509161,4.390346821743304
1419,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,8.62030651015361,8.925611643775202
1420,Water Conservation,Early Warning Systems,No,Maize,Loamy,2.422551702624844,7.558853124991453
1421,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,1.194776151474121,1.9375365399583449
1422,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,8.064022551974652,8.483826578584182
1423,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,1.6731698319724537,7.139591503295546
1424,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,9.896722005933295,1.2907172162381362
1425,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,7.073167866414003,2.2033241389870297
1426,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,7.78104739217895,6.720652502521256
1427,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,3.2122347065007935,6.963404525922565
1428,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,7.064788545277193,7.7198628955383555
1429,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,1.388979435294615,7.482208606974837
1430,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,8.540431479312408,6.935679592029595
1431,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,2.526616837284152,7.896150115717803
1432,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,7.276222601503935,6.175771353031355
1433,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,3.020324511094555,3.347122469720094
1434,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,1.6160785248343847,9.211389523576464
1435,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,5.333443106944548,1.1639262783878013
1436,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,2.523575892455105,4.299055478843412
1437,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,7.5649958949389475,7.55983263787447
1438,Water Conservation,Emergency Preparedness,No,Maize,Clayey,3.1380925904513637,4.844404370347069
1439,Water Conservation,Emergency Preparedness,No,Rice,Clayey,4.08225300612246,1.223509667320129
1440,Water Conservation,Emergency Preparedness,No,Maize,Loamy,6.106953261380256,1.5938281280459186
1441,Water Conservation,Emergency Preparedness,No,Rice,Clayey,3.564714498195804,6.837736322244598
1442,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,4.401893045889655,9.683781394647697
1443,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,8.34059593936348,5.96677272251049
1444,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,2.6128886460492313,5.560820362213922
1445,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,1.739814305337403,3.8649269175064056
1446,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,3.9552200661971737,3.3102160647945684
1447,Cover Cropping,Early Warning Systems,No,Rice,Sandy,4.819390903124903,1.1888648358065623
1448,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,5.883933539229109,3.4565938087642403
1449,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,4.351813265575063,5.041993967787272
1450,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,8.109205302005247,2.7815480474405514
1451,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,1.3538753890162594,1.786131896332863
1452,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,4.885907843787022,7.459550805291423
1453,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,4.440303231907642,9.051582421612604
1454,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,6.828206417261732,9.43094862718377
1455,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,9.696486267076564,6.561988556472904
1456,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,5.593378659659759,1.4749712433935362
1457,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,9.881891622475484,7.667763669655961
1458,Water Conservation,Early Warning Systems,No,Wheat,Sandy,3.720244554218777,1.9908577473569773
1459,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,1.277813192882149,7.027733059190416
1460,Cover Cropping,Early Warning Systems,No,Maize,Loamy,2.4909685072877146,8.014292521730882
1461,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,4.556123962971106,7.532782397438255
1462,Water Conservation,Emergency Preparedness,No,Rice,Clayey,3.84700518269697,9.566954251850175
1463,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,1.873487178850399,7.643316560206507
1464,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,4.893940969216452,7.238888001836276
1465,Water Conservation,Emergency Preparedness,No,Rice,Sandy,4.043041944936064,3.3556885496479216
1466,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,2.103572984116946,9.322918177923116
1467,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,3.6650541755071804,2.615894837147502
1468,Cover Cropping,Early Warning Systems,No,Rice,Loamy,8.977924498198515,9.144069503258137
1469,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,3.7184397894040617,3.8139628901131934
1470,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,7.425598809178465,2.1714723448990187
1471,Water Conservation,Emergency Preparedness,Yes,Wheat,Clayey,6.5084237169198005,8.440147245440537
1472,Cover Cropping,Emergency Preparedness,No,Wheat,Clayey,4.8446304616753455,1.0224590824074622
1473,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,3.1512307312330226,8.488794859127477
1474,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,4.321132294113509,3.3608065784137833
1475,Water Conservation,Emergency Preparedness,No,Maize,Loamy,6.328964921239385,8.962491454800592
1476,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,4.156778932744194,7.223312640174212
1477,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,2.9340679021680867,6.99564999565531
1478,Water Conservation,Emergency Preparedness,No,Rice,Loamy,2.048164740024689,4.28787606848359
1479,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,8.917902441186087,1.534626765016939
1480,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,4.962816781767151,8.470657883850196
1481,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,6.62687489568637,2.538134156588752
1482,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,5.413693250231248,4.35032777705277
1483,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,8.85309866522167,6.403192169581736
1484,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,5.922413672033898,5.340283647045595
1485,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,5.32703276154202,2.7879457165418624
1486,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,9.321408913795414,2.265547211940555
1487,Water Conservation,Early Warning Systems,No,Wheat,Loamy,7.4772063644081905,2.1092164502526156
1488,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,2.003949166121716,8.767070933492809
1489,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,2.5993401507713263,1.2840359415520026
1490,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,8.084105766454977,9.793128336399048
1491,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,8.522661890619588,2.786758213468727
1492,Water Conservation,Emergency Preparedness,No,Maize,Clayey,5.9067174618126685,1.9929006719117033
1493,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,5.990097050799753,6.192744892991156
1494,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,6.687396665663001,1.7198736214662698
1495,Water Conservation,Emergency Preparedness,No,Rice,Loamy,4.952041968543755,6.422079368472354
1496,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,7.121792111355136,8.655639803322519
1497,Water Conservation,Emergency Preparedness,No,Rice,Clayey,1.976331318097741,1.4310821932068234
1498,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,9.651513181306477,8.198817440756898
1499,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,7.751393414154295,4.550296968839068
1500,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,6.680567836081062,2.43541570448089
1501,Cover Cropping,Early Warning Systems,No,Rice,Sandy,3.846898513085326,2.5848683224071314
1502,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,2.4485993871105625,9.268880893248037
1503,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,4.684086674460502,1.9954517674659802
1504,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,6.954190665166526,8.801045084040913
1505,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,6.703387690807999,5.898201588852531
1506,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,4.4437703955901435,1.3515056093479516
1507,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,6.519577544498168,5.1802853114560445
1508,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,8.323734660107927,8.357045630286706
1509,Cover Cropping,Early Warning Systems,No,Maize,Clayey,1.2365629510384637,7.535825088751904
1510,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,5.055589431372481,5.39904175916246
1511,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,7.826997056201119,8.740448917265955
1512,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,5.915300234170395,2.083282856022067
1513,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,6.86328479136163,9.18946948053132
1514,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,5.650087533448079,8.617970876350139
1515,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,9.926870902140799,7.374491430915125
1516,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,1.491593828401344,8.360989679158743
1517,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,5.419403395951395,5.894339561583994
1518,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,1.822748942030659,7.076461861879002
1519,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,2.4380700590221336,6.04538263637001
1520,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,4.447345153764356,4.198856774571544
1521,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,2.399860823504386,6.119747176250598
1522,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,9.67318449360986,3.3171879927873316
1523,Cover Cropping,Early Warning Systems,No,Maize,Sandy,9.521107990526431,4.962512537567068
1524,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,4.024986815985434,3.5269786653421886
1525,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,6.757729408339116,2.105990105152501
1526,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,5.803779885344075,3.8967567075091556
1527,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,8.340282824641918,8.667884963662935
1528,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,6.64701048835248,4.429726935780751
1529,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,1.002272090415059,7.732032840719821
1530,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,7.86856947048765,2.5767806881434514
1531,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,7.721633091665063,4.819772432508774
1532,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,5.587504350098329,2.033704624016589
1533,Water Conservation,Emergency Preparedness,No,Maize,Sandy,9.126270759097483,2.247589570307407
1534,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,9.176015851213615,6.556927419010623
1535,Water Conservation,Early Warning Systems,No,Rice,Sandy,5.715205090339575,6.4673363570411
1536,Water Conservation,Emergency Preparedness,No,Maize,Clayey,6.471894080768839,2.92034716619376
1537,Cover Cropping,Emergency Preparedness,No,Wheat,Clayey,9.968698647322052,5.269808748599187
1538,Water Conservation,Early Warning Systems,No,Maize,Sandy,3.6893821133027576,8.76975550280153
1539,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,3.9215551808032965,2.5678135780883458
1540,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,2.6449651239714673,1.1728947976616335
1541,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,9.062802452420812,6.867956265972151
1542,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,7.700395509543396,1.481483872798165
1543,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,1.950785639832177,9.819462147152013
1544,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,9.835906160781692,6.486582554189929
1545,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,7.578655373450045,5.23356717559575
1546,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,8.654698986444771,4.869932860218761
1547,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,1.4333571025588083,6.157635926652382
1548,Water Conservation,Emergency Preparedness,No,Rice,Clayey,5.544648270479509,1.8156199304819343
1549,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,7.287384580543353,9.370171529375462
1550,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,5.886519261146572,6.6307786169669
1551,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,6.999827191293497,2.655806478498179
1552,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,8.360866572314253,6.063229483881965
1553,Water Conservation,Early Warning Systems,No,Wheat,Clayey,4.369033566641766,2.1993085524971048
1554,Cover Cropping,Early Warning Systems,No,Maize,Loamy,8.638018080568386,1.157974458024809
1555,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,2.4662449428876165,6.674652866925982
1556,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,3.4379744952373725,6.83635007683115
1557,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,1.390110579345932,6.25326924523074
1558,Water Conservation,Early Warning Systems,No,Wheat,Sandy,4.27984130201726,2.6513488392402076
1559,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,4.419185903417083,6.430868726452903
1560,Cover Cropping,Early Warning Systems,No,Maize,Clayey,8.247435374865258,1.5085984683206783
